学校,省份,城市,层次,性质,985,211,双一流
安徽大学,安徽,合肥,本科,公办,否,是,是
合肥工业大学,安徽,合肥,本科,公办,否,是,是
安徽理工大学,安徽,淮南,本科,公办,否,否,否
安徽农业大学,安徽,合肥,本科,公办,否,否,否
蚌埠医学院,安徽,蚌埠,本科,公办,否,否,否
安徽中医药大学,安徽,合肥,本科,公办,否,否,否
阜阳师范大学,安徽,阜阳,本科,公办,否,否,否
淮北师范大学,安徽,淮北,本科,公办,否,否,否
皖西学院,安徽,六安,本科,公办,否,否,否
安徽财经大学,安徽,蚌埠,本科,公办,否,否,否
巢湖学院,安徽,合肥,本科,公办,否,否,否
铜陵学院,安徽,铜陵,本科,公办,否,否,否
安徽科技学院,安徽,滁州,本科,公办,否,否,否
蚌埠学院,安徽,蚌埠,本科,公办,否,否,否
亳州学院,安徽,亳州,本科,公办,否,否,否
安徽艺术学院,安徽,合肥,本科,公办,否,否,否
安徽新华学院,安徽,合肥,本科,民办,否,否,否
安徽外国语学院,安徽,合肥,本科,民办,否,否,否
安徽大学江淮学院,安徽,合肥,本科,民办,否,否,否
马鞍山学院,安徽,马鞍山,本科,民办,否,否,否
合肥经济学院,安徽,合肥,本科,民办,否,否,否
安徽医科大学临床医学院,安徽,合肥,本科,民办,否,否,否
淮北理工学院,安徽,淮北,本科,民办,否,否,否
北京大学,北京,北京,本科,公办,是,是,是
清华大学,北京,北京,本科,公办,是,是,是
北京工业大学,北京,北京,本科,公办,否,是,是
北京理工大学,北京,北京,本科,公办,是,是,是
北方工业大学,北京,北京,本科,公办,否,否,否
北京工商大学,北京,北京,本科,公办,否,否,否
北京邮电大学,北京,北京,本科,公办,否,是,是
北京建筑大学,北京,北京,本科,公办,否,否,否
北京电子科技学院,北京,北京,本科,公办,否,否,否
北京农学院,北京,北京,本科,公办,否,否,否
北京协和医学院,北京,北京,本科,公办,否,否,是
北京中医药大学,北京,北京,本科,公办,否,是,是
首都师范大学,北京,北京,本科,公办,否,否,是
北京外国语大学,北京,北京,本科,公办,否,是,是
北京语言大学,北京,北京,本科,公办,否,否,否
中央财经大学,北京,北京,本科,公办,否,是,是
北京物资学院,北京,北京,本科,公办,否,否,否
中国消防救援学院,北京,北京,本科,公办,否,否,否
中国人民公安大学,北京,北京,本科,公办,否,否,是
北京体育大学,北京,北京,本科,公办,否,是,是
中国音乐学院,北京,北京,本科,公办,否,否,是
中央戏剧学院,北京,北京,本科,公办,否,否,是
北京电影学院,北京,北京,本科,公办,否,否,否
中央民族大学,北京,北京,本科,公办,是,是,是
华北电力大学,北京,北京,本科,公办,否,是,是
北京信息科技大学,北京,北京,本科,公办,否,否,否
中国石油大学（北京）,北京,北京,本科,公办,否,是,是
北京联合大学,北京,北京,本科,公办,否,否,否
首钢工学院,北京,北京,本科,公办,否,否,否
北京警察学院,北京,北京,本科,公办,否,否,否
中国社会科学院大学,北京,北京,本科,公办,否,否,否
首都师范大学科德学院,北京,北京,本科,民办,否,否,否
北京邮电大学世纪学院,北京,北京,本科,民办,否,否,否
北京第二外国语学院中瑞酒店管理学院,北京,北京,本科,民办,否,否,否
华侨大学,福建,泉州,本科,公办,否,否,否
福建理工大学,福建,福州,本科,公办,否,否,否
集美大学,福建,厦门,本科,公办,否,否,否
福建中医药大学,福建,福州,本科,公办,否,否,否
闽江学院,福建,福州,本科,公办,否,否,否
宁德师范学院,福建,宁德,本科,公办,否,否,否
闽南师范大学,福建,漳州,本科,公办,否,否,否
三明学院,福建,三明,本科,公办,否,否,否
福建商学院,福建,福州,本科,公办,否,否,否
莆田学院,福建,莆田,本科,公办,否,否,否
福建江夏学院,福建,福州,本科,公办,否,否,否
仰恩大学,福建,泉州,本科,民办,否,否,否
闽南理工学院,福建,泉州,本科,民办,否,否,否
闽南科技学院,福建,泉州,本科,民办,否,否,否
厦门工学院,福建,厦门,本科,民办,否,否,否
厦门大学嘉庚学院,福建,漳州,本科,民办,否,否,否
集美大学诚毅学院,福建,厦门,本科,民办,否,否,否
福州外语外贸学院,福建,福州,本科,民办,否,否,否
福州理工学院,福建,福州,本科,民办,否,否,否
兰州大学,甘肃,兰州,本科,公办,是,是,是
兰州交通大学,甘肃,兰州,本科,公办,否,否,否
甘肃中医药大学,甘肃,兰州,本科,公办,否,否,否
兰州城市学院,甘肃,兰州,本科,公办,否,否,否
天水师范学院,甘肃,天水,本科,公办,否,否,否
兰州财经大学,甘肃,兰州,本科,公办,否,否,否
甘肃政法大学,甘肃,兰州,本科,公办,否,否,否
兰州文理学院,甘肃,兰州,本科,公办,否,否,否
兰州工业学院,甘肃,兰州,本科,公办,否,否,否
兰州资源环境职业技术大学,甘肃,兰州,本科,公办,否,否,否
兰州博文科技学院,甘肃,兰州,本科,民办,否,否,否
中山大学,广东,广州,本科,公办,是,是,是
汕头大学,广东,汕头,本科,公办,否,否,否
华南农业大学,广东,广州,本科,公办,否,否,是
广州医科大学,广东,广州,本科,公办,否,否,是
广州中医药大学,广东,广州,本科,公办,否,否,是
华南师范大学,广东,广州,本科,公办,否,是,是
惠州学院,广东,惠州,本科,公办,否,否,否
岭南师范学院,广东,湛江,本科,公办,否,否,否
嘉应学院,广东,梅州,本科,公办,否,否,否
广州美术学院,广东,广州,本科,公办,否,否,否
广东技术师范大学,广东,广州,本科,公办,否,否,否
广东财经大学,广东,广州,本科,公办,否,否,否
广州航海学院,广东,广州,本科,公办,否,否,否
仲恺农业工程学院,广东,广州,本科,公办,否,否,否
广东金融学院,广东,广州,本科,公办,否,否,否
东莞理工学院,广东,东莞,本科,公办,否,否,否
广东外语外贸大学,广东,广州,本科,公办,否,否,否
南方医科大学,广东,广州,本科,公办,否,否,否
南方科技大学,广东,深圳,本科,公办,否,否,是
深圳职业技术大学,广东,深圳,本科,公办,否,否,否
电子科技大学中山学院,广东,中山,本科,民办,否,否,否
广东东软学院,广东,佛山,本科,民办,否,否,否
广州软件学院,广东,广州,本科,民办,否,否,否
广东外语外贸大学南国商学院,广东,广州,本科,民办,否,否,否
湛江科技学院,广东,湛江,本科,民办,否,否,否
广州理工学院,广东,广州,本科,民办,否,否,否
广州华立学院,广东,广州,本科,民办,否,否,否
广州商学院,广东,广州,本科,民办,否,否,否
珠海科技学院,广东,珠海,本科,民办,否,否,否
广州科技职业技术大学,广东,广州,本科,民办,否,否,否
广东理工学院,广东,肇庆,本科,民办,否,否,否
东莞城市学院,广东,东莞,本科,民办,否,否,否
北京师范大学-香港浸会大学联合国际学院,广东,珠海,本科,中外合作办学及内地与港澳合作办学,否,否,否
深圳北理莫斯科大学,广东,深圳,本科,中外合作办学及内地与港澳合作办学,否,否,否
香港科技大学（广州）,广东,广州,本科,中外合作办学及内地与港澳合作办学,否,否,否
广西科技大学,广西,柳州,本科,公办,否,否,否
桂林理工大学,广西,桂林,本科,公办,否,否,否
右江民族医学院,广西,百色,本科,公办,否,否,否
桂林医学院,广西,桂林,本科,公办,否,否,否
南宁师范大学,广西,南宁,本科,公办,否,否,否
河池学院,广西,河池,本科,公办,否,否,否
广西艺术学院,广西,南宁,本科,公办,否,否,否
百色学院,广西,百色,本科,公办,否,否,否
广西科技师范学院,广西,来宾,本科,公办,否,否,否
北部湾大学,广西,钦州,本科,公办,否,否,否
桂林旅游学院,广西,桂林,本科,公办,否,否,否
广西警察学院,广西,南宁,本科,公办,否,否,否
广西职业师范学院,广西,南宁,本科,公办,否,否,否
北海艺术设计学院,广西,北海,本科,民办,否,否,否
广西民族大学相思湖学院,广西,南宁,本科,民办,否,否,否
南宁师范大学师园学院,广西,南宁,本科,民办,否,否,否
桂林信息科技学院,广西,桂林,本科,民办,否,否,否
广西外国语学院,广西,南宁,本科,民办,否,否,否
广西城市职业大学,广西,崇左,本科,民办,否,否,否
贵州医科大学,贵州,贵阳,本科,公办,否,否,否
贵州中医药大学,贵州,贵阳,本科,公办,否,否,否
遵义师范学院,贵州,遵义,本科,公办,否,否,否
兴义民族师范学院,贵州,黔西南,本科,公办,否,否,否
贵州工程应用技术学院,贵州,毕节,本科,公办,否,否,否
黔南民族师范学院,贵州,黔南,本科,公办,否,否,否
贵州民族大学,贵州,贵阳,本科,公办,否,否,否
六盘水师范学院,贵州,六盘水,本科,公办,否,否,否
贵州警察学院,贵州,贵阳,本科,公办,否,否,否
贵州师范学院,贵州,贵阳,本科,公办,否,否,否
贵州中医药大学时珍学院,贵州,贵阳,本科,民办,否,否,否
贵州黔南科技学院,贵州,黔南,本科,民办,否,否,否
贵阳人文科技学院,贵州,贵阳,本科,民办,否,否,否
贵州医科大学神奇民族医药学院,贵州,贵阳,本科,民办,否,否,否
海南大学,海南,海口,本科,公办,否,是,是
海南师范大学,海南,海口,本科,公办,否,否,否
琼台师范学院,海南,海口,本科,公办,否,否,否
海口经济学院,海南,海口,本科,民办,否,否,否
海南科技职业大学,海南,海口,本科,民办,否,否,否
河北工程大学,河北,邯郸,本科,公办,否,否,否
河北工业大学,河北,天津,本科,公办,否,是,是
河北科技大学,河北,石家庄,本科,公办,否,否,否
河北水利电力学院,河北,沧州,本科,公办,否,否,否
河北医科大学,河北,石家庄,本科,公办,否,否,否
承德医学院,河北,承德,本科,公办,否,否,否
保定学院,河北,保定,本科,公办,否,否,否
唐山师范学院,河北,唐山,本科,公办,否,否,否
衡水学院,河北,衡水,本科,公办,否,否,否
邯郸学院,河北,邯郸,本科,公办,否,否,否
沧州师范学院,河北,沧州,本科,公办,否,否,否
燕山大学,河北,秦皇岛,本科,公办,否,否,否
唐山学院,河北,唐山,本科,公办,否,否,否
中国人民警察大学,河北,廊坊,本科,公办,否,否,否
河北金融学院,河北,保定,本科,公办,否,否,否
防灾科技学院,河北,廊坊,本科,公办,否,否,否
中央司法警官学院,河北,保定,本科,公办,否,否,否
河北科技工程职业技术大学,河北,邢台,本科,公办,否,否,否
河北中医药大学,河北,石家庄,本科,公办,否,否,否
河北环境工程学院,河北,秦皇岛,本科,公办,否,否,否
河北工程技术学院,河北,石家庄,本科,民办,否,否,否
河北科技学院,河北,保定,本科,民办,否,否,否
河北大学工商学院,河北,保定,本科,民办,否,否,否
河北师范大学汇华学院,河北,石家庄,本科,民办,否,否,否
河北医科大学临床学院,河北,石家庄,本科,民办,否,否,否
燕山大学里仁学院,河北,秦皇岛,本科,民办,否,否,否
河北地质大学华信学院,河北,石家庄,本科,民办,否,否,否
华北理工大学冀唐学院,河北,唐山,本科,民办,否,否,否
燕京理工学院,河北,廊坊,本科,民办,否,否,否
沧州交通学院,河北,沧州,本科,民办,否,否,否
华北水利水电大学,河南,郑州,本科,公办,否,否,否
河南理工大学,河南,焦作,本科,公办,否,否,否
河南工业大学,河南,郑州,本科,公办,否,否,否
中原工学院,河南,郑州,本科,公办,否,否,否
河南科技学院,河南,新乡,本科,公办,否,否,否
河南中医药大学,河南,郑州,本科,公办,否,否,否
河南大学,河南,开封,本科,公办,否,否,是
信阳师范大学,河南,信阳,本科,公办,否,否,否
安阳师范学院,河南,安阳,本科,公办,否,否,否
南阳师范学院,河南,南阳,本科,公办,否,否,否
商丘师范学院,河南,商丘,本科,公办,否,否,否
郑州航空工业管理学院,河南,郑州,本科,公办,否,否,否
平顶山学院,河南,平顶山,本科,公办,否,否,否
洛阳理工学院,河南,洛阳,本科,公办,否,否,否
信阳农林学院,河南,信阳,本科,公办,否,否,否
安阳工学院,河南,安阳,本科,公办,否,否,否
河南财政金融学院,河南,郑州,本科,公办,否,否,否
河南城建学院,河南,平顶山,本科,公办,否,否,否
郑州警察学院,河南,郑州,本科,公办,否,否,否
黄河科技学院,河南,郑州,本科,民办,否,否,否
郑州工业应用技术学院,河南,郑州,本科,民办,否,否,否
黄河交通学院,河南,焦作,本科,民办,否,否,否
河南开封科技传媒学院,河南,开封,本科,民办,否,否,否
信阳学院,河南,信阳,本科,民办,否,否,否
新乡医学院三全学院,河南,新乡,本科,民办,否,否,否
郑州工商学院,河南,郑州,本科,民办,否,否,否
商丘学院,河南,商丘,本科,民办,否,否,否
河南科技职业大学,河南,周口,本科,民办,否,否,否
郑州西亚斯学院,河南,郑州,本科,民办,否,否,否
黑龙江大学,黑龙江,哈尔滨,本科,公办,否,否,否
哈尔滨理工大学,黑龙江,哈尔滨,本科,公办,否,否,否
黑龙江科技大学,黑龙江,哈尔滨,本科,公办,否,否,否
佳木斯大学,黑龙江,佳木斯,本科,公办,否,否,否
东北农业大学,黑龙江,哈尔滨,本科,公办,否,是,是
哈尔滨医科大学,黑龙江,哈尔滨,本科,公办,否,否,否
牡丹江医学院,黑龙江,牡丹江,本科,公办,否,否,否
齐齐哈尔大学,黑龙江,齐齐哈尔,本科,公办,否,否,否
哈尔滨学院,黑龙江,哈尔滨,本科,公办,否,否,否
绥化学院,黑龙江,绥化,本科,公办,否,否,否
哈尔滨体育学院,黑龙江,哈尔滨,本科,公办,否,否,否
齐齐哈尔医学院,黑龙江,齐齐哈尔,本科,公办,否,否,否
黑龙江工程学院,黑龙江,哈尔滨,本科,公办,否,否,否
哈尔滨音乐学院,黑龙江,哈尔滨,本科,公办,否,否,否
哈尔滨信息工程学院,黑龙江,哈尔滨,本科,民办,否,否,否
黑龙江外国语学院,黑龙江,哈尔滨,本科,民办,否,否,否
哈尔滨石油学院,黑龙江,哈尔滨,本科,民办,否,否,否
哈尔滨远东理工学院,黑龙江,哈尔滨,本科,民办,否,否,否
黑龙江工程学院昆仑旅游学院,黑龙江,哈尔滨,本科,民办,否,否,否
哈尔滨华德学院,黑龙江,哈尔滨,本科,民办,否,否,否
华中科技大学,湖北,武汉,本科,公办,是,是,是
长江大学,湖北,荆州,本科,公办,否,否,否
中国地质大学（武汉）,湖北,武汉,本科,公办,否,是,是
武汉轻工大学,湖北,武汉,本科,公办,否,否,否
湖北工业大学,湖北,武汉,本科,公办,否,否,否
湖北中医药大学,湖北,武汉,本科,公办,否,否,否
湖北大学,湖北,武汉,本科,公办,否,否,否
黄冈师范学院,湖北,黄冈,本科,公办,否,否,否
汉江师范学院,湖北,十堰,本科,公办,否,否,否
中南财经政法大学,湖北,武汉,本科,公办,否,是,是
湖北美术学院,湖北,武汉,本科,公办,否,否,否
湖北汽车工业学院,湖北,十堰,本科,公办,否,否,否
湖北理工学院,湖北,黄石,本科,公办,否,否,否
湖北医药学院,湖北,十堰,本科,公办,否,否,否
三峡大学,湖北,宜昌,本科,公办,否,否,否
荆楚理工学院,湖北,荆门,本科,公办,否,否,否
湖北经济学院,湖北,武汉,本科,公办,否,否,否
湖北第二师范学院,湖北,武汉,本科,公办,否,否,否
汉口学院,湖北,武汉,本科,民办,否,否,否
武昌理工学院,湖北,武汉,本科,民办,否,否,否
武汉晴川学院,湖北,武汉,本科,民办,否,否,否
武汉城市学院,湖北,武汉,本科,民办,否,否,否
武汉文理学院,湖北,武汉,本科,民办,否,否,否
武汉工程大学邮电与信息工程学院,湖北,武汉,本科,民办,否,否,否
武昌工学院,湖北,武汉,本科,民办,否,否,否
荆州学院,湖北,荆州,本科,民办,否,否,否
湖北商贸学院,湖北,武汉,本科,民办,否,否,否
湖北医药学院药护学院,湖北,十堰,本科,民办,否,否,否
湖北经济学院法商学院,湖北,武汉,本科,民办,否,否,否
湖北师范大学文理学院,湖北,黄石,本科,民办,否,否,否
湖北工程学院新技术学院,湖北,孝感,本科,民办,否,否,否
武汉学院,湖北,武汉,本科,民办,否,否,否
武汉华夏理工学院,湖北,武汉,本科,民办,否,否,否
武汉设计工程学院,湖北,武汉,本科,民办,否,否,否
吉首大学,湖南,湘西,本科,公办,否,否,否
中南大学,湖南,长沙,本科,公办,是,是,是
长沙理工大学,湖南,长沙,本科,公办,否,否,否
中南林业科技大学,湖南,长沙,本科,公办,否,否,否
湖南师范大学,湖南,长沙,本科,公办,否,是,是
湘南学院,湖南,郴州,本科,公办,否,否,否
邵阳学院,湖南,邵阳,本科,公办,否,否,否
湖南文理学院,湖南,常德,本科,公办,否,否,否
湖南人文科技学院,湖南,娄底,本科,公办,否,否,否
南华大学,湖南,衡阳,本科,公办,否,否,否
湖南工程学院,湖南,湘潭,本科,公办,否,否,否
湖南工学院,湖南,衡阳,本科,公办,否,否,否
湖南警察学院,湖南,长沙,本科,公办,否,否,否
湖南女子学院,湖南,长沙,本科,公办,否,否,否
湖南医药学院,湖南,怀化,本科,公办,否,否,否
国防科技大学,湖南,长沙,本科,公办,是,是,是
湖南涉外经济学院,湖南,长沙,本科,民办,否,否,否
湖南工业大学科技学院,湖南,株洲,本科,民办,否,否,否
南华大学船山学院,湖南,衡阳,本科,民办,否,否,否
湖南师范大学树达学院,湖南,长沙,本科,民办,否,否,否
中南林业科技大学涉外学院,湖南,长沙,本科,民办,否,否,否
湖南理工学院南湖学院,湖南,岳阳,本科,民办,否,否,否
湖南工程学院应用技术学院,湖南,湘潭,本科,民办,否,否,否
吉首大学张家界学院,湖南,张家界,本科,民办,否,否,否
湖南应用技术学院,湖南,常德,本科,民办,否,否,否
湖南交通工程学院,湖南,衡阳,本科,民办,否,否,否
吉林大学,吉林,长春,本科,公办,是,是,是
长春理工大学,吉林,长春,本科,公办,否,否,否
长春工业大学,吉林,长春,本科,公办,否,否,否
吉林化工学院,吉林,吉林,本科,公办,否,否,否
长春中医药大学,吉林,长春,本科,公办,否,否,否
北华大学,吉林,吉林,本科,公办,否,否,否
吉林师范大学,吉林,四平,本科,公办,否,否,否
长春师范大学,吉林,长春,本科,公办,否,否,否
吉林财经大学,吉林,长春,本科,公办,否,否,否
吉林艺术学院,吉林,长春,本科,公办,否,否,否
长春工程学院,吉林,长春,本科,公办,否,否,否
吉林警察学院,吉林,长春,本科,公办,否,否,否
吉林医药学院,吉林,吉林,本科,公办,否,否,否
长春光华学院,吉林,长春,本科,民办,否,否,否
长春电子科技学院,吉林,长春,本科,民办,否,否,否
吉林建筑科技学院,吉林,长春,本科,民办,否,否,否
长春科技学院,吉林,长春,本科,民办,否,否,否
吉林师范大学博达学院,吉林,四平,本科,民办,否,否,否
长春人文学院,吉林,长春,本科,民办,否,否,否
苏州大学,江苏,苏州,本科,公办,否,是,是
南京航空航天大学,江苏,南京,本科,公办,否,是,是
江苏科技大学,江苏,镇江,本科,公办,否,否,否
南京工业大学,江苏,南京,本科,公办,否,否,否
南京邮电大学,江苏,南京,本科,公办,否,否,是
江南大学,江苏,无锡,本科,公办,否,是,是
江苏大学,江苏,镇江,本科,公办,否,否,否
南通大学,江苏,南通,本科,公办,否,否,否
南京农业大学,江苏,南京,本科,公办,否,是,是
徐州医科大学,江苏,徐州,本科,公办,否,否,否
中国药科大学,江苏,南京,本科,公办,否,是,是
江苏师范大学,江苏,徐州,本科,公办,否,否,否
盐城师范学院,江苏,盐城,本科,公办,否,否,否
江苏警官学院,江苏,南京,本科,公办,否,否,否
南京艺术学院,江苏,南京,本科,公办,否,否,否
常熟理工学院,江苏,苏州,本科,公办,否,否,否
淮阴工学院,江苏,淮安,本科,公办,否,否,否
扬州大学,江苏,扬州,本科,公办,否,否,否
南京审计大学,江苏,南京,本科,公办,否,否,否
江苏理工学院,江苏,常州,本科,公办,否,否,否
徐州工程学院,江苏,徐州,本科,公办,否,否,否
南京警察学院,江苏,南京,本科,公办,否,否,否
金陵科技学院,江苏,南京,本科,公办,否,否,否
苏州城市学院,江苏,苏州,本科,公办,否,否,否
江苏第二师范学院,江苏,南京,本科,公办,否,否,否
南通理工学院,江苏,南通,本科,民办,否,否,否
无锡太湖学院,江苏,无锡,本科,民办,否,否,否
南京大学金陵学院,江苏,南京,本科,民办,否,否,否
南京航空航天大学金城学院,江苏,南京,本科,民办,否,否,否
南京理工大学泰州科技学院,江苏,泰州,本科,民办,否,否,否
南京工业大学浦江学院,江苏,南京,本科,民办,否,否,否
南京医科大学康达学院,江苏,连云港,本科,民办,否,否,否
苏州大学应用技术学院,江苏,苏州,本科,民办,否,否,否
江苏大学京江学院,江苏,镇江,本科,民办,否,否,否
江苏师范大学科文学院,江苏,徐州,本科,民办,否,否,否
南京财经大学红山学院,江苏,镇江,本科,民办,否,否,否
常州大学怀德学院,江苏,泰州,本科,民办,否,否,否
南京审计大学金审学院,江苏,南京,本科,民办,否,否,否
昆山杜克大学,江苏,昆山,本科,中外合作办学及内地与港澳合作办学,否,否,否
华东交通大学,江西,南昌,本科,公办,否,否,否
南昌航空大学,江西,南昌,本科,公办,否,否,否
景德镇陶瓷大学,江西,景德镇,本科,公办,否,否,否
江西中医药大学,江西,南昌,本科,公办,否,否,否
江西师范大学,江西,南昌,本科,公办,否,否,否
宜春学院,江西,宜春,本科,公办,否,否,否
井冈山大学,江西,吉安,本科,公办,否,否,否
景德镇学院,江西,景德镇,本科,公办,否,否,否
江西科技师范大学,江西,南昌,本科,公办,否,否,否
江西警察学院,江西,南昌,本科,公办,否,否,否
九江学院,江西,九江,本科,公办,否,否,否
赣南科技学院,江西,赣州,本科,公办,否,否,否
豫章师范学院,江西,南昌,本科,公办,否,否,否
江西科技学院,江西,南昌,本科,民办,否,否,否
南昌理工学院,江西,南昌,本科,民办,否,否,否
江西服装学院,江西,南昌,本科,民办,否,否,否
南昌工学院,江西,南昌,本科,民办,否,否,否
南昌大学共青学院,江西,九江,本科,民办,否,否,否
南昌航空大学科技学院,江西,南昌,本科,民办,否,否,否
江西农业大学南昌商学院,江西,南昌,本科,民办,否,否,否
赣南师范大学科技学院,江西,赣州,本科,民办,否,否,否
江西财经大学现代经济管理学院,江西,南昌,本科,民办,否,否,否
辽宁大学,辽宁,沈阳,本科,公办,否,是,是
沈阳工业大学,辽宁,沈阳,本科,公办,否,否,否
沈阳理工大学,辽宁,沈阳,本科,公办,否,否,否
辽宁科技大学,辽宁,鞍山,本科,公办,否,否,否
辽宁石油化工大学,辽宁,抚顺,本科,公办,否,否,否
大连交通大学,辽宁,大连,本科,公办,否,否,否
大连工业大学,辽宁,大连,本科,公办,否,否,否
辽宁工业大学,辽宁,锦州,本科,公办,否,否,否
大连海洋大学,辽宁,大连,本科,公办,否,否,否
锦州医科大学,辽宁,锦州,本科,公办,否,否,否
辽宁中医药大学,辽宁,沈阳,本科,公办,否,否,否
沈阳医学院,辽宁,沈阳,本科,公办,否,否,否
沈阳师范大学,辽宁,沈阳,本科,公办,否,否,否
鞍山师范学院,辽宁,鞍山,本科,公办,否,否,否
东北财经大学,辽宁,大连,本科,公办,否,否,否
沈阳体育学院,辽宁,沈阳,本科,公办,否,否,否
鲁迅美术学院,辽宁,沈阳,本科,公办,否,否,否
大连大学,辽宁,大连,本科,公办,否,否,否
辽宁警察学院,辽宁,大连,本科,公办,否,否,否
辽东学院,辽宁,丹东,本科,公办,否,否,否
营口理工学院,辽宁,营口,本科,公办,否,否,否
辽宁理工职业大学,辽宁,锦州,本科,民办,否,否,否
沈阳工业大学工程学院,辽宁,辽阳,本科,民办,否,否,否
沈阳工学院,辽宁,抚顺,本科,民办,否,否,否
大连科技学院,辽宁,大连,本科,民办,否,否,否
大连医科大学中山学院,辽宁,大连,本科,民办,否,否,否
辽宁师范大学海华学院,辽宁,大连,本科,民办,否,否,否
大连财经学院,辽宁,大连,本科,民办,否,否,否
大连艺术学院,辽宁,大连,本科,民办,否,否,否
辽宁何氏医学院,辽宁,沈阳,本科,民办,否,否,否
大连东软信息学院,辽宁,大连,本科,民办,否,否,否
辽宁传媒学院,辽宁,沈阳,本科,民办,否,否,否
内蒙古科技大学,内蒙古,包头,本科,公办,否,否,否
内蒙古农业大学,内蒙古,呼和浩特,本科,公办,否,否,否
内蒙古师范大学,内蒙古,呼和浩特,本科,公办,否,否,否
赤峰学院,内蒙古,赤峰,本科,公办,否,否,否
呼伦贝尔学院,内蒙古,呼伦贝尔,本科,公办,否,否,否
河套学院,内蒙古,巴彦淖尔,本科,公办,否,否,否
