学校,省份,城市,层次,性质,985,211,双一流
周口师范学院,河南,周口,本科,公办,否,否,否
许昌学院,河南,许昌,本科,公办,否,否,否
洛阳师范学院,河南,洛阳,本科,公办,否,否,否
河南财经政法大学,河南,郑州,本科,公办,否,否,否
黄淮学院,河南,驻马店,本科,公办,否,否,否
郑州工程技术学院,河南,郑州,本科,公办,否,否,否
新乡学院,河南,新乡,本科,公办,否,否,否
河南工学院,河南,新乡,本科,公办,否,否,否
河南工程学院,河南,郑州,本科,公办,否,否,否
南阳理工学院,河南,南阳,本科,公办,否,否,否
河南警察学院,河南,郑州,本科,公办,否,否,否
郑州师范学院,河南,郑州,本科,公办,否,否,否
郑州科技学院,河南,郑州,本科,民办,否,否,否
郑州财经学院,河南,郑州,本科,民办,否,否,否
商丘工学院,河南,商丘,本科,民办,否,否,否
中原科技学院,河南,郑州,本科,民办,否,否,否
安阳学院,河南,安阳,本科,民办,否,否,否
新乡工程学院,河南,新乡,本科,民办,否,否,否
郑州经贸学院,河南,郑州,本科,民办,否,否,否
郑州商学院,河南,郑州,本科,民办,否,否,否
郑州升达经贸管理学院,河南,郑州,本科,民办,否,否,否
郑州美术学院,河南,郑州,本科,民办,否,否,否
哈尔滨工业大学,黑龙江,哈尔滨,本科,公办,是,是,是
哈尔滨工程大学,黑龙江,哈尔滨,本科,公办,否,是,是
东北石油大学,黑龙江,大庆,本科,公办,否,否,否
黑龙江八一农垦大学,黑龙江,大庆,本科,公办,否,否,否
东北林业大学,黑龙江,哈尔滨,本科,公办,否,是,是
黑龙江中医药大学,黑龙江,哈尔滨,本科,公办,否,否,否
哈尔滨师范大学,黑龙江,哈尔滨,本科,公办,否,否,否
牡丹江师范学院,黑龙江,牡丹江,本科,公办,否,否,否
大庆师范学院,黑龙江,大庆,本科,公办,否,否,否
哈尔滨商业大学,黑龙江,哈尔滨,本科,公办,否,否,否
哈尔滨金融学院,黑龙江,哈尔滨,本科,公办,否,否,否
黑龙江工业学院,黑龙江,鸡西,本科,公办,否,否,否
黑河学院,黑龙江,黑河,本科,公办,否,否,否
黑龙江东方学院,黑龙江,哈尔滨,本科,民办,否,否,否
齐齐哈尔工程学院,黑龙江,齐齐哈尔,本科,民办,否,否,否
黑龙江财经学院,黑龙江,哈尔滨,本科,民办,否,否,否
黑龙江工商学院,黑龙江,哈尔滨,本科,民办,否,否,否
哈尔滨剑桥学院,黑龙江,哈尔滨,本科,民办,否,否,否
哈尔滨广厦学院,黑龙江,哈尔滨,本科,民办,否,否,否
武汉大学,湖北,武汉,本科,公办,是,是,是
武汉科技大学,湖北,武汉,本科,公办,否,否,否
武汉工程大学,湖北,武汉,本科,公办,否,否,否
武汉纺织大学,湖北,武汉,本科,公办,否,否,否
武汉理工大学,湖北,武汉,本科,公办,否,是,是
华中农业大学,湖北,武汉,本科,公办,否,是,是
华中师范大学,湖北,武汉,本科,公办,否,是,是
湖北师范大学,湖北,黄石,本科,公办,否,否,否
湖北民族大学,湖北,恩施,本科,公办,否,否,否
湖北文理学院,湖北,襄阳,本科,公办,否,否,否
武汉体育学院,湖北,武汉,本科,公办,否,否,否
中南民族大学,湖北,武汉,本科,公办,否,否,否
湖北工程学院,湖北,孝感,本科,公办,否,否,否
湖北科技学院,湖北,咸宁,本科,公办,否,否,否
江汉大学,湖北,武汉,本科,公办,否,否,否
湖北警官学院,湖北,武汉,本科,公办,否,否,否
武汉音乐学院,湖北,武汉,本科,公办,否,否,否
武汉商学院,湖北,武汉,本科,公办,否,否,否
武汉东湖学院,湖北,武汉,本科,民办,否,否,否
武昌首义学院,湖北,武汉,本科,民办,否,否,否
武汉生物工程学院,湖北,武汉,本科,民办,否,否,否
湖北大学知行学院,湖北,武汉,本科,民办,否,否,否
三峡大学科技学院,湖北,宜昌,本科,民办,否,否,否
湖北工业大学工程技术学院,湖北,武汉,本科,民办,否,否,否
武汉纺织大学外经贸学院,湖北,武汉,本科,民办,否,否,否
武汉工商学院,湖北,武汉,本科,民办,否,否,否
长江大学文理学院,湖北,荆州,本科,民办,否,否,否
湖北汽车工业学院科技学院,湖北,十堰,本科,民办,否,否,否
湖北恩施学院,湖北,恩施,本科,民办,否,否,否
武汉体育学院体育科技学院,湖北,武汉,本科,民办,否,否,否
湖北文理学院理工学院,湖北,襄阳,本科,民办,否,否,否
文华学院,湖北,武汉,本科,民办,否,否,否
武汉工程科技学院,湖北,武汉,本科,民办,否,否,否
武汉传媒学院,湖北,武汉,本科,民办,否,否,否
湘潭大学,湖南,湘潭,本科,公办,否,否,是
湖南大学,湖南,长沙,本科,公办,是,是,是
湖南科技大学,湖南,湘潭,本科,公办,否,否,否
湖南农业大学,湖南,长沙,本科,公办,否,否,否
湖南中医药大学,湖南,长沙,本科,公办,否,否,否
湖南理工学院,湖南,岳阳,本科,公办,否,否,否
衡阳师范学院,湖南,衡阳,本科,公办,否,否,否
怀化学院,湖南,怀化,本科,公办,否,否,否
湖南科技学院,湖南,永州,本科,公办,否,否,否
湖南工商大学,湖南,长沙,本科,公办,否,否,否
长沙学院,湖南,长沙,本科,公办,否,否,否
湖南城市学院,湖南,益阳,本科,公办,否,否,否
湖南财政经济学院,湖南,长沙,本科,公办,否,否,否
湖南工业大学,湖南,株洲,本科,公办,否,否,否
湖南第一师范学院,湖南,长沙,本科,公办,否,否,否
长沙师范学院,湖南,长沙,本科,公办,否,否,否
长沙医学院,湖南,长沙,本科,民办,否,否,否
湘潭大学兴湘学院,湖南,湘潭,本科,民办,否,否,否
湖南科技大学潇湘学院,湖南,湘潭,本科,民办,否,否,否
湘潭理工学院,湖南,湘潭,本科,民办,否,否,否
湖南农业大学东方科技学院,湖南,长沙,本科,民办,否,否,否
湖南文理学院芙蓉学院,湖南,常德,本科,民办,否,否,否
衡阳师范学院南岳学院,湖南,衡阳,本科,民办,否,否,否
湖南中医药大学湘杏学院,湖南,长沙,本科,民办,否,否,否
长沙理工大学城南学院,湖南,长沙,本科,民办,否,否,否
湖南信息学院,湖南,长沙,本科,民办,否,否,否
湖南软件职业技术大学,湖南,湘潭,本科,民办,否,否,否
延边大学,吉林,延边,本科,公办,否,是,是
东北电力大学,吉林,吉林,本科,公办,否,否,否
吉林建筑大学,吉林,长春,本科,公办,否,否,否
吉林农业大学,吉林,长春,本科,公办,否,否,否
东北师范大学,吉林,长春,本科,公办,否,是,是
通化师范学院,吉林,通化,本科,公办,否,否,否
吉林工程技术师范学院,吉林,长春,本科,公办,否,否,否
白城师范学院,吉林,白城,本科,公办,否,否,否
吉林体育学院,吉林,长春,本科,公办,否,否,否
吉林工商学院,吉林,长春,本科,公办,否,否,否
吉林农业科技学院,吉林,吉林,本科,公办,否,否,否
长春大学,吉林,长春,本科,公办,否,否,否
吉林外国语大学,吉林,长春,本科,民办,否,否,否
长春工业大学人文信息学院,吉林,长春,本科,民办,否,否,否
长春财经学院,吉林,长春,本科,民办,否,否,否
长春建筑学院,吉林,长春,本科,民办,否,否,否
吉林动画学院,吉林,长春,本科,民办,否,否,否
长春大学旅游学院,吉林,长春,本科,民办,否,否,否
南京大学,江苏,南京,本科,公办,是,是,是
东南大学,江苏,南京,本科,公办,是,是,是
南京理工大学,江苏,南京,本科,公办,否,是,是
中国矿业大学,江苏,徐州,本科,公办,否,是,是
常州大学,江苏,常州,本科,公办,否,否,否
河海大学,江苏,南京,本科,公办,否,是,是
南京林业大学,江苏,南京,本科,公办,否,否,是
南京信息工程大学,江苏,南京,本科,公办,否,否,是
盐城工学院,江苏,盐城,本科,公办,否,否,否
南京医科大学,江苏,南京,本科,公办,否,否,是
南京中医药大学,江苏,南京,本科,公办,否,否,是
南京师范大学,江苏,南京,本科,公办,否,是,是
淮阴师范学院,江苏,淮安,本科,公办,否,否,否
南京财经大学,江苏,南京,本科,公办,否,否,否
南京体育学院,江苏,南京,本科,公办,否,否,否
苏州科技大学,江苏,苏州,本科,公办,否,否,否
南京工业职业技术大学,江苏,南京,本科,公办,否,否,否
常州工学院,江苏,常州,本科,公办,否,否,否
南京工程学院,江苏,南京,本科,公办,否,否,否
南京晓庄学院,江苏,南京,本科,公办,否,否,否
江苏海洋大学,江苏,连云港,本科,公办,否,否,否
南京特殊教育师范学院,江苏,南京,本科,公办,否,否,否
泰州学院,江苏,泰州,本科,公办,否,否,否
无锡学院,江苏,无锡,本科,公办,否,否,否
宿迁学院,江苏,宿迁,本科,公办,否,否,否
三江学院,江苏,南京,本科,民办,否,否,否
东南大学成贤学院,江苏,南京,本科,民办,否,否,否
中国矿业大学徐海学院,江苏,徐州,本科,民办,否,否,否
南京理工大学紫金学院,江苏,南京,本科,民办,否,否,否
南京传媒学院,江苏,南京,本科,民办,否,否,否
南京师范大学泰州学院,江苏,泰州,本科,民办,否,否,否
南京师范大学中北学院,江苏,镇江,本科,民办,否,否,否
南京中医药大学翰林学院,江苏,泰州,本科,民办,否,否,否
苏州科技大学天平学院,江苏,苏州,本科,民办,否,否,否
扬州大学广陵学院,江苏,扬州,本科,民办,否,否,否
南京邮电大学通达学院,江苏,扬州,本科,民办,否,否,否
江苏科技大学苏州理工学院,江苏,苏州,本科,民办,否,否,否
南通大学杏林学院,江苏,南通,本科,民办,否,否,否
西交利物浦大学,江苏,苏州,本科,中外合作办学及内地与港澳合作办学,否,否,否
南昌大学,江西,南昌,本科,公办,否,是,是
东华理工大学,江西,抚州,本科,公办,否,否,否
江西理工大学,江西,赣州,本科,公办,否,否,否
江西农业大学,江西,南昌,本科,公办,否,否,否
赣南医学院,江西,赣州,本科,公办,否,否,否
上饶师范学院,江西,上饶,本科,公办,否,否,否
赣南师范大学,江西,赣州,本科,公办,否,否,否
江西财经大学,江西,南昌,本科,公办,否,否,否
萍乡学院,江西,萍乡,本科,公办,否,否,否
南昌工程学院,江西,南昌,本科,公办,否,否,否
新余学院,江西,新余,本科,公办,否,否,否
赣东学院,江西,抚州,本科,公办,否,否,否
南昌医学院,江西,南昌,本科,公办,否,否,否
南昌师范学院,江西,南昌,本科,公办,否,否,否
江西工程学院,江西,新余,本科,民办,否,否,否
江西应用科技学院,江西,南昌,本科,民办,否,否,否
南昌职业大学,江西,南昌,本科,民办,否,否,否
南昌大学科学技术学院,江西,南昌,本科,民办,否,否,否
南昌交通学院,江西,南昌,本科,民办,否,否,否
景德镇艺术职业大学,江西,景德镇,本科,民办,否,否,否
江西师范大学科学技术学院,江西,南昌,本科,民办,否,否,否
南昌应用技术师范学院,江西,南昌,本科,民办,否,否,否
江西软件职业技术大学,江西,南昌,本科,民办,否,否,否
大连理工大学,辽宁,大连,本科,公办,是,是,是
沈阳航空航天大学,辽宁,沈阳,本科,公办,否,否,否
东北大学,辽宁,沈阳,本科,公办,是,是,是
辽宁工程技术大学,辽宁,阜新,本科,公办,否,否,否
沈阳化工大学,辽宁,沈阳,本科,公办,否,否,否
大连海事大学,辽宁,大连,本科,公办,否,是,是
沈阳建筑大学,辽宁,沈阳,本科,公办,否,否,否
沈阳农业大学,辽宁,沈阳,本科,公办,否,否,否
中国医科大学,辽宁,沈阳,本科,公办,否,否,否
大连医科大学,辽宁,大连,本科,公办,否,否,否
沈阳药科大学,辽宁,沈阳,本科,公办,否,否,否
辽宁师范大学,辽宁,大连,本科,公办,否,否,否
渤海大学,辽宁,锦州,本科,公办,否,否,否
大连外国语大学,辽宁,大连,本科,公办,否,否,否
中国刑事警察学院,辽宁,沈阳,本科,公办,否,否,否
沈阳音乐学院,辽宁,沈阳,本科,公办,否,否,否
沈阳大学,辽宁,沈阳,本科,公办,否,否,否
辽宁科技学院,辽宁,本溪,本科,公办,否,否,否
沈阳工程学院,辽宁,沈阳,本科,公办,否,否,否
大连民族大学,辽宁,大连,本科,公办,否,否,否
辽宁对外经贸学院,辽宁,大连,本科,民办,否,否,否
大连理工大学城市学院,辽宁,大连,本科,民办,否,否,否
沈阳航空航天大学北方科技学院,辽宁,沈阳,本科,民办,否,否,否
大连工业大学艺术与信息工程学院,辽宁,大连,本科,民办,否,否,否
沈阳城市建设学院,辽宁,沈阳,本科,民办,否,否,否
锦州医科大学医疗学院,辽宁,锦州,本科,民办,否,否,否
辽宁理工学院,辽宁,锦州,本科,民办,否,否,否
沈阳城市学院,辽宁,沈阳,本科,民办,否,否,否
辽宁中医药大学杏林学院,辽宁,沈阳,本科,民办,否,否,否
沈阳科技学院,辽宁,沈阳,本科,民办,否,否,否
辽宁财贸学院,辽宁,葫芦岛,本科,民办,否,否,否
内蒙古大学,内蒙古,呼和浩特,本科,公办,否,是,是
内蒙古工业大学,内蒙古,呼和浩特,本科,公办,否,否,否
内蒙古医科大学,内蒙古,呼和浩特,本科,公办,否,否,否
内蒙古民族大学,内蒙古,通辽,本科,公办,否,否,否
内蒙古财经大学,内蒙古,呼和浩特,本科,公办,否,否,否
集宁师范学院,内蒙古,乌兰察布,本科,公办,否,否,否
呼和浩特民族学院,内蒙古,呼和浩特,本科,公办,否,否,否
鄂尔多斯应用技术学院,内蒙古,鄂尔多斯,本科,公办,否,否,否
内蒙古鸿德文理学院,内蒙古,呼和浩特,本科,民办,否,否,否
宁夏医科大学,宁夏,银川,本科,公办,否,否,否
北方民族大学,宁夏,银川,本科,公办,否,否,否
宁夏大学新华学院,宁夏,银川,本科,民办,否,否,否
银川科技学院,宁夏,银川,本科,民办,否,否,否
青海师范大学,青海,西宁,本科,公办,否,否,否
青海大学昆仑学院,青海,西宁,本科,民办,否,否,否
中国海洋大学,山东,青岛,本科,公办,是,是,是
中国石油大学（华东）,山东,青岛,本科,公办,否,是,是
济南大学,山东,济南,本科,公办,否,否,否
山东建筑大学,山东,济南,本科,公办,否,否,否
山东理工大学,山东,淄博,本科,公办,否,否,否
青岛农业大学,山东,青岛,本科,公办,否,否,否
山东第一医科大学,山东,济南,本科,公办,否,否,否
山东中医药大学,山东,济南,本科,公办,否,否,否
山东师范大学,山东,济南,本科,公办,否,否,否
聊城大学,山东,聊城,本科,公办,否,否,否
滨州学院,山东,滨州,本科,公办,否,否,否
临沂大学,山东,临沂,本科,公办,否,否,否
济宁学院,山东,济宁,本科,公办,否,否,否
山东财经大学,山东,济南,本科,公办,否,否,否
山东艺术学院,山东,济南,本科,公办,否,否,否
山东工艺美术学院,山东,济南,本科,公办,否,否,否
烟台大学,山东,烟台,本科,公办,否,否,否
山东警察学院,山东,济南,本科,公办,否,否,否
山东工商学院,山东,烟台,本科,公办,否,否,否
山东石油化工学院,山东,东营,本科,公办,否,否,否
齐鲁师范学院,山东,济南,本科,公办,否,否,否
山东管理学院,山东,济南,本科,公办,否,否,否
齐鲁医药学院,山东,淄博,本科,民办,否,否,否
烟台南山学院,山东,烟台,本科,民办,否,否,否
山东英才学院,山东,济南,本科,民办,否,否,否
青岛黄海学院,山东,青岛,本科,民办,否,否,否
山东协和学院,山东,济南,本科,民办,否,否,否
烟台理工学院,山东,烟台,本科,民办,否,否,否
青岛城市学院,山东,青岛,本科,民办,否,否,否
山东财经大学燕山学院,山东,济南,本科,民办,否,否,否
泰山科技学院,山东,泰安,本科,民办,否,否,否
山东外事职业大学,山东,威海,本科,民办,否,否,否
青岛农业大学海都学院,山东,烟台,本科,民办,否,否,否
山东财经大学东方学院,山东,泰安,本科,民办,否,否,否
青岛电影学院,山东,青岛,本科,民办,否,否,否
太原科技大学,山西,太原,本科,公办,否,否,否
太原理工大学,山西,太原,本科,公办,否,是,是
山西医科大学,山西,太原,本科,公办,否,否,否
山西师范大学,山西,太原,本科,公办,否,否,否
山西大同大学,山西,大同,本科,公办,否,否,否
长治学院,山西,长治,本科,公办,否,否,否
忻州师范学院,山西,忻州,本科,公办,否,否,否
山西中医药大学,山西,太原,本科,公办,否,否,否
太原学院,山西,太原,本科,公办,否,否,否
山西工程科技职业大学,山西,太原,本科,公办,否,否,否
山西科技学院,山西,晋城,本科,公办,否,否,否
山西传媒学院,山西,太原,本科,公办,否,否,否
山西能源学院,山西,晋中,本科,公办,否,否,否
晋中信息学院,山西,晋中,本科,民办,否,否,否
山西晋中理工学院,山西,晋中,本科,民办,否,否,否
山西财经大学华商学院,山西,太原,本科,民办,否,否,否
运城职业技术大学,山西,运城,本科,民办,否,否,否
西安交通大学,陕西,西安,本科,公办,是,是,是
西安理工大学,陕西,西安,本科,公办,否,否,否
西安工业大学,陕西,西安,本科,公办,否,否,否
西安科技大学,陕西,西安,本科,公办,否,否,否
陕西科技大学,陕西,西安,本科,公办,否,否,否
长安大学,陕西,西安,本科,公办,否,是,是
陕西中医药大学,陕西,咸阳,本科,公办,否,否,否
延安大学,陕西,延安,本科,公办,否,否,否
宝鸡文理学院,陕西,宝鸡,本科,公办,否,否,否
渭南师范学院,陕西,渭南,本科,公办,否,否,否
西北政法大学,陕西,西安,本科,公办,否,否,否
西安音乐学院,陕西,西安,本科,公办,否,否,否
西安文理学院,陕西,西安,本科,公办,否,否,否
商洛学院,陕西,商洛,本科,公办,否,否,否
西安财经大学,陕西,西安,本科,公办,否,否,否
西安航空学院,陕西,西安,本科,公办,否,否,否
陕西学前师范学院,陕西,西安,本科,公办,否,否,否
西安培华学院,陕西,西安,本科,民办,否,否,否
西安外事学院,陕西,西安,本科,民办,否,否,否
西京学院,陕西,西安,本科,民办,否,否,否
陕西国际商贸学院,陕西,咸阳,本科,民办,否,否,否
西安交通工程学院,陕西,西安,本科,民办,否,否,否
西北大学现代学院,陕西,西安,本科,民办,否,否,否
西安财经大学行知学院,陕西,西安,本科,民办,否,否,否
西安工商学院,陕西,西安,本科,民办,否,否,否
西安电子科技大学长安学院,陕西,西安,本科,民办,否,否,否
西安明德理工学院,陕西,西安,本科,民办,否,否,否
长安大学兴华学院,陕西,西安,本科,民办,否,否,否
西安科技大学高新学院,陕西,西安,本科,民办,否,否,否
同济大学,上海,上海,本科,公办,是,是,是
华东理工大学,上海,上海,本科,公办,否,是,是
上海海事大学,上海,上海,本科,公办,否,否,否
上海电力大学,上海,上海,本科,公办,否,否,否
上海健康医学院,上海,上海,本科,公办,否,否,否
上海中医药大学,上海,上海,本科,公办,否,否,是
上海师范大学,上海,上海,本科,公办,否,否,否
上海财经大学,上海,上海,本科,公办,否,是,是
上海海关学院,上海,上海,本科,公办,否,否,否
上海体育大学,上海,上海,本科,公办,否,否,是
上海戏剧学院,上海,上海,本科,公办,否,否,否
上海公安学院,上海,上海,本科,公办,否,否,否
上海立信会计金融学院,上海,上海,本科,公办,否,否,否
上海政法学院,上海,上海,本科,公办,否,否,否
上海商学院,上海,上海,本科,公办,否,否,否
海军军医大学,上海,上海,本科,公办,否,是,是
上海立达学院,上海,上海,本科,民办,否,否,否
上海兴伟学院,上海,上海,本科,民办,否,否,否
上海视觉艺术学院,上海,上海,本科,民办,否,否,否
上海师范大学天华学院,上海,上海,本科,民办,否,否,否
四川大学,四川,成都,本科,公办,是,是,是
电子科技大学,四川,成都,本科,公办,是,是,是
成都理工大学,四川,成都,本科,公办,否,否,是
成都信息工程大学,四川,成都,本科,公办,否,否,否
西华大学,四川,成都,本科,公办,否,否,否
四川农业大学,四川,雅安,本科,公办,否,是,是
西南医科大学,四川,泸州,本科,公办,否,否,否
川北医学院,四川,南充,本科,公办,否,否,否
西华师范大学,四川,南充,本科,公办,否,否,否
内江师范学院,四川,内江,本科,公办,否,否,否
四川文理学院,四川,达州,本科,公办,否,否,否
乐山师范学院,四川,乐山,本科,公办,否,否,否
成都体育学院,四川,成都,本科,公办,否,否,否
西南民族大学,四川,成都,本科,公办,否,否,否
成都工业学院,四川,成都,本科,公办,否,否,否
四川旅游学院,四川,成都,本科,公办,否,否,否
四川警察学院,四川,泸州,本科,公办,否,否,否
成都师范学院,四川,成都,本科,公办,否,否,否
成都艺术职业大学,四川,成都,本科,民办,否,否,否
成都理工大学工程技术学院,四川,乐山,本科,民办,否,否,否
成都银杏酒店管理学院,四川,成都,本科,民办,否,否,否
四川工商学院,四川,成都,本科,民办,否,否,否
四川工业科技学院,四川,德阳,本科,民办,否,否,否
西南财经大学天府学院,四川,绵阳,本科,民办,否,否,否
四川文化艺术学院,四川,绵阳,本科,民办,否,否,否
西南交通大学希望学院,四川,南充,本科,民办,否,否,否
吉利学院,四川,成都,本科,民办,否,否,否
天津大学,天津,天津,本科,公办,是,是,是
天津工业大学,天津,天津,本科,公办,否,否,是
天津理工大学,天津,天津,本科,公办,否,否,否
天津医科大学,天津,天津,本科,公办,否,是,是
天津师范大学,天津,天津,本科,公办,否,否,否
天津外国语大学,天津,天津,本科,公办,否,否,否
天津财经大学,天津,天津,本科,公办,否,否,否
天津音乐学院,天津,天津,本科,公办,否,否,否
天津城建大学,天津,天津,本科,公办,否,否,否
天津天狮学院,天津,天津,本科,民办,否,否,否
天津传媒学院,天津,天津,本科,民办,否,否,否
天津医科大学临床医学院,天津,天津,本科,民办,否,否,否
天津师范大学津沽学院,天津,天津,本科,民办,否,否,否
北京科技大学天津学院,天津,天津,本科,民办,否,否,否
天津财经大学珠江学院,天津,天津,本科,民办,否,否,否
西藏大学,西藏,拉萨,本科,公办,否,是,是
西藏藏医药大学,西藏,拉萨,本科,公办,否,否,否
塔里木大学,新疆,阿拉尔,本科,公办,否,否,否
石河子大学,新疆,石河子,本科,公办,否,是,是
新疆师范大学,新疆,乌鲁木齐,本科,公办,否,否,否
伊犁师范大学,新疆,伊犁,本科,公办,否,否,否
新疆艺术学院,新疆,乌鲁木齐,本科,公办,否,否,否
昌吉学院,新疆,昌吉,本科,公办,否,否,否
新疆理工学院,新疆,阿克苏,本科,公办,否,否,否
新疆科技学院,新疆,巴音郭楞,本科,公办,否,否,否
新疆农业大学科学技术学院,新疆,乌鲁木齐,本科,民办,否,否,否
云南大学,云南,昆明,本科,公办,否,是,是
云南农业大学,云南,昆明,本科,公办,否,否,否
昆明医科大学,云南,昆明,本科,公办,否,否,否
云南中医药大学,云南,昆明,本科,公办,否,否,否
昭通学院,云南,昭通,本科,公办,否,否,否
普洱学院,云南,普洱,本科,公办,否,否,否
红河学院,云南,红河,本科,公办,否,否,否
云南艺术学院,云南,昆明,本科,公办,否,否,否
玉溪师范学院,云南,玉溪,本科,公办,否,否,否
云南警官学院,云南,昆明,本科,公办,否,否,否
文山学院,云南,文山,本科,公办,否,否,否
滇西应用技术大学,云南,大理,本科,公办,否,否,否
云南大学滇池学院,云南,昆明,本科,民办,否,否,否
昆明理工大学津桥学院,云南,昆明,本科,民办,否,否,否
昆明文理学院,云南,昆明,本科,民办,否,否,否
云南艺术学院文华学院,云南,昆明,本科,民办,否,否,否
浙江大学,浙江,杭州,本科,公办,是,是,是
浙江工业大学,浙江,杭州,本科,公办,否,否,否
浙江海洋大学,浙江,舟山,本科,公办,否,否,否
温州医科大学,浙江,温州,本科,公办,否,否,否
浙江师范大学,浙江,金华,本科,公办,否,否,否
湖州师范学院,浙江,湖州,本科,公办,否,否,否
台州学院,浙江,台州,本科,公办,否,否,否
丽水学院,浙江,丽水,本科,公办,否,否,否
嘉兴大学,浙江,嘉兴,本科,公办,否,否,否
中国计量大学,浙江,杭州,本科,公办,否,否,否
浙江科技学院,浙江,杭州,本科,公办,否,否,否
浙江水利水电学院,浙江,杭州,本科,公办,否,否,否
浙江警察学院,浙江,杭州,本科,公办,否,否,否
宁波大学,浙江,宁波,本科,公办,否,否,是
浙大城市学院,浙江,杭州,本科,公办,否,否,否
杭州医学院,浙江,杭州,本科,公办,否,否,否
温州理工学院,浙江,温州,本科,公办,否,否,否
浙江外国语学院,浙江,杭州,本科,公办,否,否,否
浙江药科职业大学,浙江,宁波,本科,公办,否,否,否
浙江越秀外国语学院,浙江,绍兴,本科,民办,否,否,否
浙江广厦建设职业技术大学,浙江,金华,本科,民办,否,否,否
浙江师范大学行知学院,浙江,金华,本科,民办,否,否,否
