学校,省份,城市,层次,性质,985,211,双一流
贵州财经职业学院,贵州,贵阳,专科,公办,否,否,否
贵州文化旅游职业学院,贵州,贵阳,专科,公办,否,否,否
贵州航空职业技术学院,贵州,贵阳,专科,公办,否,否,否
贵州体育职业学院,贵州,贵阳,专科,公办,否,否,否
贵州传媒职业学院,贵州,贵阳,专科,公办,否,否,否
贵州生态能源职业学院,贵州,贵阳,专科,公办,否,否,否
黔东南理工职业学院,贵州,黔东南,专科,公办,否,否,否
贵州城市职业学院,贵州,贵阳,专科,民办,否,否,否
贵州盛华职业学院,贵州,黔南,专科,民办,否,否,否
贵州工商职业学院,贵州,贵阳,专科,民办,否,否,否
贵州工程职业学院,贵州,铜仁,专科,民办,否,否,否
贵州工贸职业学院,贵州,毕节,专科,民办,否,否,否
贵州应用技术职业学院,贵州,黔南,专科,民办,否,否,否
贵州民用航空职业学院,贵州,安顺,专科,民办,否,否,否
贵州铜仁数据职业学院,贵州,铜仁,专科,民办,,,
海南职业技术学院,海南,海口,专科,公办,否,否,否
海南软件职业技术学院,海南,琼海,专科,公办,否,否,否
海南政法职业学院,海南,海口,专科,公办,否,否,否
海南外国语职业学院,海南,文昌,专科,公办,否,否,否
海南经贸职业技术学院,海南,海口,专科,公办,否,否,否
海南体育职业技术学院,海南,海口,专科,公办,否,否,否
海南卫生健康职业学院,海南,海口,专科,公办,否,否,否
三亚城市职业学院,海南,三亚,专科,民办,否,否,否
海南工商职业学院,海南,海口,专科,民办,否,否,否
三亚航空旅游职业学院,海南,三亚,专科,民办,否,否,否
三亚理工职业学院,海南,三亚,专科,民办,否,否,否
三亚中瑞酒店管理职业学院,海南,三亚,专科,民办,否,否,否
海南健康管理职业技术学院,海南,海口,专科,民办,否,否,否
海南东方新丝路职业学院,海南,东方,专科,民办,否,否,否
邯郸职业技术学院,河北,邯郸,专科,公办,否,否,否
石家庄职业技术学院,河北,石家庄,专科,公办,否,否,否
张家口职业技术学院,河北,张家口,专科,公办,否,否,否
河北软件职业技术学院,河北,保定,专科,公办,否,否,否
河北石油职业技术学院,河北,廊坊,专科,公办,否,否,否
河北建材职业技术学院,河北,秦皇岛,专科,公办,否,否,否
河北政法职业学院,河北,石家庄,专科,公办,否,否,否
沧州职业技术学院,河北,沧州,专科,公办,否,否,否
河北能源职业技术学院,河北,唐山,专科,公办,否,否,否
石家庄铁路职业技术学院,河北,石家庄,专科,公办,否,否,否
保定职业技术学院,河北,保定,专科,公办,否,否,否
秦皇岛职业技术学院,河北,秦皇岛,专科,公办,否,否,否
唐山职业技术学院,河北,唐山,专科,公办,否,否,否
衡水职业技术学院,河北,衡水,专科,公办,否,否,否
唐山工业职业技术学院,河北,唐山,专科,公办,否,否,否
邢台医学高等专科学校,河北,邢台,专科,公办,否,否,否
河北艺术职业学院,河北,石家庄,专科,公办,否,否,否
河北旅游职业学院,河北,承德,专科,公办,否,否,否
河北交通职业技术学院,河北,石家庄,专科,公办,否,否,否
河北化工医药职业技术学院,河北,石家庄,专科,公办,否,否,否
石家庄信息工程职业学院,河北,石家庄,专科,公办,否,否,否
河北对外经贸职业学院,河北,秦皇岛,专科,公办,否,否,否
保定电力职业技术学院,河北,保定,专科,公办,否,否,否
河北机电职业技术学院,河北,邢台,专科,公办,否,否,否
渤海石油职业学院,河北,沧州,专科,公办,否,否,否
廊坊职业技术学院,河北,廊坊,专科,公办,否,否,否
唐山科技职业技术学院,河北,唐山,专科,公办,否,否,否
石家庄邮电职业技术学院,河北,石家庄,专科,公办,否,否,否
河北公安警察职业学院,河北,石家庄,专科,公办,否,否,否
河北司法警官职业学院,河北,邯郸,专科,公办,否,否,否
沧州医学高等专科学校,河北,沧州,专科,公办,否,否,否
河北女子职业技术学院,河北,石家庄,专科,公办,否,否,否
冀中职业学院,河北,保定,专科,公办,否,否,否
河北正定师范高等专科学校,河北,石家庄,专科,公办,否,否,否
河北劳动关系职业学院,河北,石家庄,专科,公办,否,否,否
沧州幼儿师范高等专科学校,河北,沧州,专科,公办,否,否,否
宣化科技职业学院,河北,张家口,专科,公办,否,否,否
廊坊燕京职业技术学院,河北,廊坊,专科,公办,否,否,否
承德护理职业学院,河北,承德,专科,公办,否,否,否
石家庄幼儿师范高等专科学校,河北,石家庄,专科,公办,否,否,否
廊坊卫生职业学院,河北,廊坊,专科,公办,否,否,否
河北轨道运输职业技术学院,河北,石家庄,专科,公办,否,否,否
保定幼儿师范高等专科学校,河北,保定,专科,公办,否,否,否
河北工艺美术职业学院,河北,保定,专科,公办,否,否,否
唐山幼儿师范高等专科学校,河北,唐山,专科,公办,否,否,否
承德应用技术职业学院,河北,承德,专科,公办,否,否,否
邯郸幼儿师范高等专科学校,河北,邯郸,专科,公办,否,否,否
邯郸科技职业学院,河北,邯郸,专科,公办,否,否,否
河北资源环境职业技术学院,河北,石家庄,专科,公办,否,否,否
衡水健康科技职业学院,河北,衡水,专科,公办,否,否,否
秦皇岛工业职业技术学院,河北,秦皇岛,专科,公办,否,否,否
石家庄工程职业学院,河北,石家庄,专科,民办,否,否,否
石家庄城市经济职业学院,河北,石家庄,专科,民办,否,否,否
石家庄财经职业学院,河北,石家庄,专科,民办,否,否,否
石家庄工商职业学院,河北,石家庄,专科,民办,否,否,否
石家庄理工职业学院,河北,石家庄,专科,民办,否,否,否
石家庄科技信息职业学院,河北,石家庄,专科,民办,否,否,否
石家庄医学高等专科学校,河北,石家庄,专科,民办,否,否,否
石家庄经济职业学院,河北,石家庄,专科,民办,否,否,否
石家庄人民医学高等专科学校,河北,石家庄,专科,民办,否,否,否
石家庄科技职业学院,河北,石家庄,专科,民办,否,否,否
渤海理工职业学院,河北,沧州,专科,民办,否,否,否
曹妃甸职业技术学院,河北,唐山,专科,民办,否,否,否
唐山海运职业学院,河北,唐山,专科,民办,否,否,否
邢台应用技术职业学院,河北,邢台,专科,民办,否,否,否
沧州航空职业学院,河北,沧州,专科,民办,,,
邯郸应用技术职业学院,河北,邯郸,专科,民办,,,
河南职业技术学院,河南,郑州,专科,公办,否,否,否
漯河职业技术学院,河南,漯河,专科,公办,否,否,否
三门峡职业技术学院,河南,三门峡,专科,公办,否,否,否
郑州铁路职业技术学院,河南,郑州,专科,公办,否,否,否
开封大学,河南,开封,专科,公办,否,否,否
焦作大学,河南,焦作,专科,公办,否,否,否
濮阳职业技术学院,河南,濮阳,专科,公办,否,否,否
郑州电力高等专科学校,河南,郑州,专科,公办,否,否,否
黄河水利职业技术学院,河南,开封,专科,公办,否,否,否
许昌职业技术学院,河南,许昌,专科,公办,否,否,否
河南工业和信息化职业学院,河南,焦作,专科,公办,否,否,否
河南水利与环境职业学院,河南,郑州,专科,公办,否,否,否
商丘职业技术学院,河南,商丘,专科,公办,否,否,否
平顶山工业职业技术学院,河南,平顶山,专科,公办,否,否,否
周口职业技术学院,河南,周口,专科,公办,否,否,否
济源职业技术学院,河南,济源,专科,公办,否,否,否
河南司法警官职业学院,河南,郑州,专科,公办,否,否,否
鹤壁职业技术学院,河南,鹤壁,专科,公办,否,否,否
河南工业职业技术学院,河南,南阳,专科,公办,否,否,否
焦作师范高等专科学校,河南,焦作,专科,公办,否,否,否
河南检察职业学院,河南,郑州,专科,公办,否,否,否
河南质量工程职业学院,河南,平顶山,专科,公办,否,否,否
郑州信息科技职业学院,河南,郑州,专科,公办,否,否,否
漯河医学高等专科学校,河南,漯河,专科,公办,否,否,否
南阳医学高等专科学校,河南,南阳,专科,公办,否,否,否
商丘医学高等专科学校,河南,商丘,专科,公办,否,否,否
信阳职业技术学院,河南,信阳,专科,公办,否,否,否
郑州工业安全职业学院,河南,郑州,专科,公办,否,否,否
永城职业学院,河南,商丘,专科,公办,否,否,否
河南经贸职业学院,河南,郑州,专科,公办,否,否,否
河南交通职业技术学院,河南,郑州,专科,公办,否,否,否
河南农业职业学院,河南,郑州,专科,公办,否,否,否
郑州旅游职业学院,河南,郑州,专科,公办,否,否,否
郑州职业技术学院,河南,郑州,专科,公办,否,否,否
河南信息统计职业学院,河南,郑州,专科,公办,否,否,否
河南林业职业学院,河南,洛阳,专科,公办,否,否,否
河南工业贸易职业学院,河南,郑州,专科,公办,否,否,否
河南建筑职业技术学院,河南,郑州,专科,公办,否,否,否
安阳职业技术学院,河南,安阳,专科,公办,否,否,否
新乡职业技术学院,河南,新乡,专科,公办,否,否,否
驻马店职业技术学院,河南,驻马店,专科,公办,否,否,否
开封文化艺术职业学院,河南,开封,专科,公办,否,否,否
河南应用技术职业学院,河南,郑州,专科,公办,否,否,否
河南艺术职业学院,河南,郑州,专科,公办,否,否,否
河南机电职业学院,河南,郑州,专科,公办,否,否,否
河南护理职业学院,河南,安阳,专科,公办,否,否,否
许昌电气职业学院,河南,许昌,专科,公办,否,否,否
河南推拿职业学院,河南,洛阳,专科,公办,否,否,否
洛阳职业技术学院,河南,洛阳,专科,公办,否,否,否
郑州幼儿师范高等专科学校,河南,郑州,专科,公办,否,否,否
安阳幼儿师范高等专科学校,河南,安阳,专科,公办,否,否,否
河南医学高等专科学校,河南,郑州,专科,公办,否,否,否
郑州财税金融职业学院,河南,郑州,专科,公办,否,否,否
南阳农业职业学院,河南,南阳,专科,公办,否,否,否
濮阳医学高等专科学校,河南,濮阳,专科,公办,否,否,否
驻马店幼儿师范高等专科学校,河南,驻马店,专科,公办,否,否,否
三门峡社会管理职业学院,河南,三门峡,专科,公办,否,否,否
河南轻工职业学院,河南,郑州,专科,公办,否,否,否
河南测绘职业学院,河南,郑州,专科,公办,否,否,否
郑州卫生健康职业学院,河南,郑州,专科,公办,否,否,否
河南物流职业学院,河南,新乡,专科,公办,否,否,否
河南地矿职业学院,河南,郑州,专科,公办,否,否,否
河南女子职业学院,河南,新乡,专科,公办,否,否,否
河南对外经济贸易职业学院,河南,开封,专科,公办,否,否,否
濮阳石油化工职业技术学院,河南,濮阳,专科,公办,否,否,否
南阳科技职业学院,河南,南阳,专科,公办,否,否,否
兰考三农职业学院,河南,开封,专科,公办,否,否,否
汝州职业技术学院,河南,平顶山,专科,公办,否,否,否
洛阳文化旅游职业学院,河南,洛阳,专科,公办,否,否,否
周口文理职业学院,河南,周口,专科,公办,否,否,否
信阳艺术职业学院,河南,信阳,专科,公办,否,否,否
平顶山职业技术学院,河南,平顶山,专科,公办,否,否,否
南阳工艺美术职业学院,河南,南阳,专科,公办,否,否,否
濮阳科技职业学院,河南,濮阳,专科,公办,否,否,否
商丘幼儿师范高等专科学校,河南,商丘,专科,公办,否,否,否
周口理工职业学院,河南,周口,专科,公办,否,否,否
郑州澍青医学高等专科学校,河南,郑州,专科,民办,否,否,否
郑州电子信息职业技术学院,河南,郑州,专科,民办,否,否,否
嵩山少林武术职业学院,河南,郑州,专科,民办,否,否,否
郑州电力职业技术学院,河南,郑州,专科,民办,否,否,否
漯河食品职业学院,河南,漯河,专科,民办,否,否,否
郑州城市职业学院,河南,郑州,专科,民办,否,否,否
焦作工贸职业学院,河南,焦作,专科,民办,否,否,否
许昌陶瓷职业学院,河南,许昌,专科,民办,否,否,否
郑州理工职业学院,河南,郑州,专科,民办,否,否,否
郑州信息工程职业学院,河南,郑州,专科,民办,否,否,否
长垣烹饪职业技术学院,河南,新乡,专科,民办,否,否,否
信阳涉外职业技术学院,河南,信阳,专科,民办,否,否,否
鹤壁汽车工程职业学院,河南,鹤壁,专科,民办,否,否,否
南阳职业学院,河南,南阳,专科,民办,否,否,否
郑州商贸旅游职业学院,河南,郑州,专科,民办,否,否,否
郑州黄河护理职业学院,河南,郑州,专科,民办,否,否,否
洛阳科技职业学院,河南,洛阳,专科,民办,否,否,否
鹤壁能源化工职业学院,河南,鹤壁,专科,民办,否,否,否
平顶山文化艺术职业学院,河南,平顶山,专科,民办,否,否,否
信阳航空职业学院,河南,信阳,专科,民办,否,否,否
林州建筑职业技术学院,河南,安阳,专科,民办,否,否,否
郑州电子商务职业学院,河南,郑州,专科,民办,否,否,否
郑州轨道工程职业学院,河南,郑州,专科,民办,否,否,否
郑州体育职业学院,河南,郑州,专科,民办,否,否,否
郑州城建职业学院,河南,郑州,专科,民办,否,否,否
郑州医药健康职业学院,河南,郑州,专科,民办,否,否,否
焦作新材料职业学院,河南,焦作,专科,民办,否,否,否
开封职业学院,河南,开封,专科,民办,否,否,否
洛阳商业职业学院,河南,洛阳,专科,民办,否,否,否
郑州软件职业技术学院,河南,郑州,专科,民办,否,否,否
郑州智能科技职业学院,河南,郑州,专科,民办,否,否,否
郑州食品工程职业学院,河南,郑州,专科,民办,否,否,否
郑州汽车工程职业学院,河南,郑州,专科,民办,否,否,否
郑州亚欧交通职业学院,河南,郑州,专科,中外合作办学,否,否,否
齐齐哈尔高等师范专科学校,黑龙江,齐齐哈尔,专科,公办,否,否,否
伊春职业学院,黑龙江,伊春,专科,公办,否,否,否
牡丹江大学,黑龙江,牡丹江,专科,公办,否,否,否
黑龙江职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江建筑职业技术学院,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江艺术职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
大庆职业学院,黑龙江,大庆,专科,公办,否,否,否
黑龙江林业职业技术学院,黑龙江,牡丹江,专科,公办,否,否,否
黑龙江农业职业技术学院,黑龙江,佳木斯,专科,公办,否,否,否
黑龙江农业工程职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江农垦职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江司法警官职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
鹤岗师范高等专科学校,黑龙江,鹤岗,专科,公办,否,否,否
哈尔滨电力职业技术学院,黑龙江,哈尔滨,专科,公办,否,否,否
哈尔滨铁道职业技术学院,黑龙江,哈尔滨,专科,公办,否,否,否
大兴安岭职业学院,黑龙江,大兴安岭,专科,公办,否,否,否
黑龙江农业经济职业学院,黑龙江,牡丹江,专科,公办,否,否,否
哈尔滨职业技术学院,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江商业职业学院,黑龙江,牡丹江,专科,公办,否,否,否
黑龙江公安警官职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江旅游职业技术学院,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江生态工程职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江能源职业学院,黑龙江,双鸭山,专科,公办,否,否,否
七台河职业学院,黑龙江,七台河,专科,公办,否,否,否
黑龙江民族职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
大庆医学高等专科学校,黑龙江,大庆,专科,公办,否,否,否
黑龙江交通职业技术学院,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江幼儿师范高等专科学校,黑龙江,牡丹江,专科,公办,否,否,否
哈尔滨科学技术职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
佳木斯职业学院,黑龙江,佳木斯,专科,公办,否,否,否
黑龙江护理高等专科学校,黑龙江,哈尔滨,专科,公办,否,否,否
哈尔滨幼儿师范高等专科学校,黑龙江,哈尔滨,专科,公办,否,否,否
黑龙江冰雪体育职业学院,黑龙江,哈尔滨,专科,公办,否,否,否
哈尔滨传媒职业学院,黑龙江,哈尔滨,专科,民办,否,否,否
哈尔滨城市职业学院,黑龙江,哈尔滨,专科,民办,否,否,否
黑龙江三江美术职业学院,黑龙江,佳木斯,专科,民办,否,否,否
哈尔滨应用职业技术学院,黑龙江,哈尔滨,专科,民办,否,否,否
齐齐哈尔理工职业学院,黑龙江,齐齐哈尔,专科,民办,否,否,否
哈尔滨北方航空职业技术学院,黑龙江,哈尔滨,专科,民办,否,否,否
武汉职业技术学院,湖北,武汉,专科,公办,否,否,否
黄冈职业技术学院,湖北,黄冈,专科,公办,否,否,否
长江职业学院,湖北,武汉,专科,公办,否,否,否
荆州理工职业学院,湖北,荆州,专科,公办,否,否,否
湖北工业职业技术学院,湖北,十堰,专科,公办,否,否,否
鄂州职业大学,湖北,鄂州,专科,公办,否,否,否
武汉城市职业学院,湖北,武汉,专科,公办,否,否,否
湖北职业技术学院,湖北,孝感,专科,公办,否,否,否
武汉船舶职业技术学院,湖北,武汉,专科,公办,否,否,否
恩施职业技术学院,湖北,恩施,专科,公办,否,否,否
襄阳职业技术学院,湖北,襄阳,专科,公办,否,否,否
荆州职业技术学院,湖北,荆州,专科,公办,否,否,否
武汉工程职业技术学院,湖北,武汉,专科,公办,否,否,否
仙桃职业学院,湖北,仙桃,专科,公办,否,否,否
湖北轻工职业技术学院,湖北,武汉,专科,公办,否,否,否
湖北交通职业技术学院,湖北,武汉,专科,公办,否,否,否
湖北中医药高等专科学校,湖北,荆州,专科,公办,否,否,否
武汉航海职业技术学院,湖北,武汉,专科,公办,否,否,否
武汉铁路职业技术学院,湖北,武汉,专科,公办,否,否,否
武汉软件工程职业学院,湖北,武汉,专科,公办,否,否,否
湖北三峡职业技术学院,湖北,宜昌,专科,公办,否,否,否
随州职业技术学院,湖北,随州,专科,公办,否,否,否
武汉电力职业技术学院,湖北,武汉,专科,公办,否,否,否
湖北水利水电职业技术学院,湖北,武汉,专科,公办,否,否,否
湖北城市建设职业技术学院,湖北,武汉,专科,公办,否,否,否
武汉警官职业学院,湖北,武汉,专科,公办,否,否,否
湖北生物科技职业学院,湖北,武汉,专科,公办,否,否,否
湖北艺术职业学院,湖北,武汉,专科,公办,否,否,否
武汉交通职业学院,湖北,武汉,专科,公办,否,否,否
咸宁职业技术学院,湖北,咸宁,专科,公办,否,否,否
长江工程职业技术学院,湖北,武汉,专科,公办,否,否,否
江汉艺术职业学院,湖北,潜江,专科,公办,否,否,否
武汉民政职业学院,湖北,武汉,专科,公办,否,否,否
湖北黄冈应急管理职业技术学院,湖北,黄冈,专科,公办,否,否,否
湖北财税职业学院,湖北,武汉,专科,公办,否,否,否
湖北国土资源职业学院,湖北,武汉,专科,公办,否,否,否
湖北生态工程职业技术学院,湖北,武汉,专科,公办,否,否,否
三峡电力职业学院,湖北,宜昌,专科,公办,否,否,否
湖北科技职业学院,湖北,武汉,专科,公办,否,否,否
湖北青年职业学院,湖北,武汉,专科,公办,否,否,否
湖北工程职业学院,湖北,黄石,专科,公办,否,否,否
三峡旅游职业技术学院,湖北,宜昌,专科,公办,否,否,否
天门职业学院,湖北,天门,专科,公办,否,否,否
湖北体育职业学院,湖北,武汉,专科,公办,否,否,否
襄阳汽车职业技术学院,湖北,襄阳,专科,公办,否,否,否
湖北幼儿师范高等专科学校,湖北,武汉,专科,公办,否,否,否
湖北铁道运输职业学院,湖北,武汉,专科,公办,否,否,否
武汉海事职业学院,湖北,武汉,专科,公办,否,否,否
荆门职业学院,湖北,荆门,专科,公办,否,否,否
武汉铁路桥梁职业学院,湖北,武汉,专科,公办,否,否,否
襄阳科技职业学院,湖北,襄阳,专科,公办,否,否,否
宜昌科技职业学院,湖北,宜昌,专科,公办,否,否,否
武汉工贸职业学院,湖北,武汉,专科,民办,否,否,否
湖北开放职业学院,湖北,武汉,专科,民办,否,否,否
武汉科技职业学院,湖北,武汉,专科,民办,否,否,否
武汉外语外事职业学院,湖北,武汉,专科,民办,否,否,否
武汉信息传播职业技术学院,湖北,武汉,专科,民办,否,否,否
武昌职业学院,湖北,武汉,专科,民办,否,否,否
武汉商贸职业学院,湖北,武汉,专科,民办,否,否,否
黄冈科技职业学院,湖北,黄冈,专科,民办,否,否,否
长江艺术工程职业学院,湖北,荆州,专科,民办,否,否,否
武汉光谷职业学院,湖北,武汉,专科,民办,否,否,否
湖北健康职业学院,湖北,咸宁,专科,民办,否,否,否
湖北孝感美珈职业学院,湖北,孝感,专科,民办,否,否,否
湘中幼儿师范高等专科学校,湖南,邵阳,专科,公办,否,否,否
长沙民政职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南工业职业技术学院,湖南,长沙,专科,公办,否,否,否
株洲师范高等专科学校,湖南,株洲,专科,公办,否,否,否
湖南信息职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南税务高等专科学校,湖南,长沙,专科,公办,否,否,否
湖南冶金职业技术学院,湖南,株洲,专科,公办,否,否,否
长沙航空职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南大众传媒职业技术学院,湖南,长沙,专科,公办,否,否,否
永州职业技术学院,湖南,永州,专科,公办,否,否,否
湖南铁道职业技术学院,湖南,株洲,专科,公办,否,否,否
湖南科技职业学院,湖南,长沙,专科,公办,否,否,否
湖南生物机电职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南交通职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南商务职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南体育职业学院,湖南,长沙,专科,公办,否,否,否
湖南工程职业技术学院,湖南,长沙,专科,公办,否,否,否
保险职业学院,湖南,长沙,专科,公办,否,否,否
湖南外贸职业学院,湖南,长沙,专科,公办,否,否,否
湖南网络工程职业学院,湖南,长沙,专科,公办,否,否,否
邵阳职业技术学院,湖南,邵阳,专科,公办,否,否,否
湖南司法警官职业学院,湖南,长沙,专科,公办,否,否,否
长沙商贸旅游职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南环境生物职业技术学院,湖南,衡阳,专科,公办,否,否,否
湖南邮电职业技术学院,湖南,长沙,专科,公办,否,否,否
湘潭医卫职业技术学院,湖南,湘潭,专科,公办,否,否,否
郴州职业技术学院,湖南,郴州,专科,公办,否,否,否
娄底职业技术学院,湖南,娄底,专科,公办,否,否,否
张家界航空工业职业技术学院,湖南,张家界,专科,公办,否,否,否
长沙环境保护职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南艺术职业学院,湖南,长沙,专科,公办,否,否,否
湖南机电职业技术学院,湖南,长沙,专科,公办,否,否,否
长沙职业技术学院,湖南,长沙,专科,公办,否,否,否
怀化职业技术学院,湖南,怀化,专科,公办,否,否,否
岳阳职业技术学院,湖南,岳阳,专科,公办,否,否,否
常德职业技术学院,湖南,常德,专科,公办,否,否,否
湖南化工职业技术学院,湖南,株洲,专科,公办,否,否,否
湖南城建职业技术学院,湖南,湘潭,专科,公办,否,否,否
湖南石油化工职业技术学院,湖南,岳阳,专科,公办,否,否,否
湖南中医药高等专科学校,湖南,株洲,专科,公办,否,否,否
湖南民族职业学院,湖南,岳阳,专科,公办,否,否,否
湘西民族职业技术学院,湖南,湘西,专科,公办,否,否,否
湖南财经工业职业技术学院,湖南,衡阳,专科,公办,否,否,否
益阳职业技术学院,湖南,益阳,专科,公办,否,否,否
湖南工艺美术职业学院,湖南,益阳,专科,公办,否,否,否
湖南九嶷职业技术学院,湖南,永州,专科,公办,否,否,否
湖南理工职业技术学院,湖南,湘潭,专科,公办,否,否,否
湖南汽车工程职业学院,湖南,株洲,专科,公办,否,否,否
长沙电力职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南水利水电职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南现代物流职业技术学院,湖南,长沙,专科,公办,否,否,否
湖南高速铁路职业技术学院,湖南,衡阳,专科,公办,否,否,否
湖南铁路科技职业技术学院,湖南,株洲,专科,公办,否,否,否
湖南安全技术职业学院,湖南,长沙,专科,公办,否,否,否
湖南电气职业技术学院,湖南,湘潭,专科,公办,否,否,否
益阳医学高等专科学校,湖南,益阳,专科,公办,否,否,否
湖南国防工业职业技术学院,湖南,湘潭,专科,公办,否,否,否
长沙卫生职业学院,湖南,长沙,专科,公办,否,否,否
湖南食品药品职业学院,湖南,长沙,专科,公办,否,否,否
湖南有色金属职业技术学院,湖南,株洲,专科,公办,否,否,否
湖南幼儿师范高等专科学校,湖南,常德,专科,公办,否,否,否
湘南幼儿师范高等专科学校,湖南,郴州,专科,公办,否,否,否
湖南劳动人事职业学院,湖南,长沙,专科,公办,否,否,否
怀化师范高等专科学校,湖南,怀化,专科,公办,否,否,否
永州师范高等专科学校,湖南,永州,专科,公办,否,否,否
衡阳幼儿师范高等专科学校,湖南,衡阳,专科,公办,否,否,否
长沙幼儿师范高等专科学校,湖南,长沙,专科,公办,否,否,否
益阳师范高等专科学校,湖南,益阳,专科,公办,否,否,否
娄底幼儿师范高等专科学校,湖南,娄底,专科,公办,否,否,否
