rank,name_cn,location
1001,理工大学，克拉科夫,United States
1001,檀国大学,Spain
1001,同志社大学,Egypt
1001,爱琴海大学,Turkey
1001,国立理工学院,Jordan
1001,高等政治学院（ESPOL）,United Kingdom
1001,马什哈德菲尔多西大学,China (Mainland)
1001,俄罗斯联邦政府金融大学,United Kingdom
1001,福坦莫大学,United States
1001,Universidad CEU San Pablo ,Hungary
1001,未来大学 - 埃及,Mexico
1001,加兹大学,Saudi Arabia
1001,德国约旦大学,Dominican Republic
1001,格拉斯哥卡利多尼安大学,Japan
1001,哈尔滨工程大学,China (Mainland)
1001,哈珀亚当斯大学学院,Japan
1001,霍华德大学,South Korea
1001,匈牙利农业与生命科学大学,Kazakhstan
1001,瓜达拉哈拉耶稣会大学 ITESO,Kazakhstan
1001,伊玛目穆罕默德·本·沙特伊斯兰大学,Russia
1001,INTEC大学,United States
1001,国际基督教大学,South Korea
1001,江南大学,Japan
1001,鹿儿岛大学,Japan
1001,江原大学,United Kingdom
1001,哈萨克斯坦Ablai汗国际关系与世界语言大学,Russia
1001,哈萨克斯坦英国技术大学,Poland
1001,喀山国立研究理工大学,Egypt
1001,肯特州立大学,Japan
1001,国民大学,United States
1001,京都工艺纤维大学,Malaysia
1001,九州工业大学,Iraq
1001,利兹贝克特大学,Jordan
1001,下诺夫哥罗德国立大学,Lithuania
1001,罗兹技术大学,China (Mainland)
1001,曼苏拉大学,Ukraine
1001,明治大学,United States
1001,密西西比州立大学,China (Mainland)
1001,多媒体大学（MMU）,Russia
1001,穆斯林西里大学,Ukraine
1001,慕达大学,United States
1001,米科罗斯罗美斯大学,India
1001,南京师范大学,France
1001,基辅-莫伊拉学院国立大学,Brazil
1001,北亚利桑那大学,Poland
1001,西北大学（中国）,United States
1001,新西伯利亚州立技术大学,Russia
1001,Odessa I.I.Mechnikov National University,Russia
1001,俄亥俄大学,United States
1001,班贾布大学,India
1001,蒙彼利埃第三大学,South Korea
1001,圣保罗天主教大学（PUC-SP）,China (Mainland)
1001,波兹南理工大学,United Kingdom
1001,罗彻斯特理工大学 (RIT),Japan
1001,俄罗斯国家经济和公共行政学院院长,Russia
1001,圣彼得堡矿业大学,Poland
1001,圣地亚哥州立大学,Slovakia
1001,萨蒂亚巴马科技学院,South Korea
1001,国立首尔科学技术大学,United States
1001,上海外国语大学,China (Mainland)
1001,谢菲尔德哈勒姆大学,Hungary
1001,信州大学,Saudi Arabia
1001,西伯利亚联邦大学,Estonia
1001,Gliwice西里西亚理工大学,Slovakia
1001,斯洛伐克理工大学布拉迪斯拉发,Czech Republic
1001,顺天乡大学,Indonesia
1001,南卫理公会大学,Pakistan
1001,西南大学,United Kingdom
1001,塞切尼·伊什特万大学,United States
1001,泰拜大学,Japan
1001,塔林大学,Japan
1001,科希策技术大学,Czech Republic
1001,利伯雷茨技术大学,Russia
1001,工程电信学院,Chile
1001,拉合尔大学,Chile
1001,北安普顿大学,Mexico
1001,德克萨斯大学阿灵顿大学,Mexico
1001,东海大学（日本）,Mexico
1001,德岛大学,Mexico
1001,托马斯拔佳大学，兹林,Mexico
1001,乌法国家航空技术大学（USATU）,Colombia
1001,安德烈斯·贝洛大学 - UNAB,Mexico
1001,智利南方大学,Venezuela
1001,查平戈大学,Argentina
1001,瓜达拉哈拉自治大学（UAG）,Argentina
1001,新莱昂自治大学（UANL）,Paraguay
1001,伊达尔戈州自治大学,Argentina
1001,墨西哥州立自治大学,Costa Rica
1001,桑坦德工业大学,Peru
1001,拉萨尔大学（ULSA）,Argentina
1001,委内瑞拉都会大学,Spain
1001,库约国立大学,Spain
1001,圣路易斯国立大学,Peru
1001,亚松森国立大学,Venezuela
1001,布宜诺斯艾利斯大学国家中心,Mexico
1001,哥斯达黎加国立大学,Cuba
1001,秘鲁应用科技大学,Spain
1001,国立理工大学（UTN）,Puerto Rico
1001,科多瓦大学 - 西班牙大学,Chile
1001,Universidad de León ,Colombia
1001,利马大学,Peru
1001,洛斯安第斯大学梅里达,Colombia
1001,蒙特雷大学,Brazil
1001,东方古巴圣地亚哥大学,Brazil
1001,奥维耶多大学,Brazil
1001,波多黎各大学,Spain
1001,塔尔卡大学,
1001,城北大学,Indonesia
1001,太平洋大学,Indonesia
1001,山谷大学,Spain
1001,伯南布哥联邦大学,Malaysia
1001,圣卡洛斯联邦大学,Malaysia
1001,巴拉那联邦大学（UFP的）,Malaysia
1001,大学科鲁尼亚大学,Malaysia
1001,加布里埃莱·达嫩齐奥大学,Malaysia
1001,哈桑丁大学,Malaysia
1001,马凯特大学,United States
1001,莱里达大学,Sri Lanka
1001,吉隆坡大学（UniKL）,United Kingdom
1001,玻璃市马来西亚大学,Spain
1001,马来西亚沙巴大学（UMS）,Czech Republic
1001,马来西亚沙捞越大学（UNIMAS）,United States
1001,马来西亚登嘉楼大学,Greece
1001,马来西亚大学侯赛因大学（UTHM）,Pakistan
1001,阿肯色大学,United States
1001,科伦坡大学,United States
1001,德比大学,United States
1001,University of Deusto,Kenya
1001,哈拉德茨克拉洛夫大学,Italy
1001,University of Idaho ,United States
1001,University of Ioannina,United States
1001,卡拉奇大学,United States
1001,路易斯维尔大学,Serbia
1001,密西西比大学,Czech Republic
1001,密苏里大学堪萨斯城分校,Slovenia
1001,内罗毕大学,Canada
1001,帕尔特诺佩大学,United States
1001,新罕布什尔大学,United States
1001,北卡罗来纳大学夏洛特分校,Czech Republic
1001,北德克萨斯大学,United States
1001,诺维萨德大学,United States
1001,帕尔杜比采大学,United States
1001,Primorska大学,United States
1001,University of Regina,Russia
1001,罗德岛大学,United States
1001,旧金山大学,United Kingdom
1001,南波希米亚大学,United States
1001,德克萨斯大学艾尔帕索分校,South Africa
1001,德克萨斯大学圣安东尼奥分校,Australia
1001,University of Toledo,Slovakia
1001,塔尔萨大学,Italy
1001,秋明州立大学,Italy
1001,威斯康星大学密尔沃基分校,Italy
1001,伍尔弗汉普顿大学,Germany
1001,怀俄明大学,France
1001,自由州大学,France
1001,阳光海岸大学,France
1001,日利纳大学,Tunisia
1001,图西亚大学,Tunisia
1001,乌迪内大学,France
1001,University of Salento,United States
1001,锡根大学,Czech Republic
1001,里昂第二大学,Canada
1001,卡昂大学,Poland
1001,普瓦捷大学,United States
1001,斯法克斯大学,China (Mainland)
1001,苏塞大学,Japan
1001,图卢兹第二大学,Jordan
1001,犹他州立大学,Armenia
1201,俄斯特拉发技术大学,Egypt
1201,Vancouver Island University,Romania
1201,华沙生命科学大学,Turkey
1201,西密歇根大学,Japan
1201,西交利物浦大学,Indonesia
1201,山口大学,Azerbaijan
1201,耶尔穆克大学,Pakistan
1201,埃里温州立大学,Belarus
1201,阿兹哈尔大学,Mexico
1201,亚历山德鲁伊万库扎大学,"Palestinian Territory, Occupied"
1201,阿纳多卢大学,Egypt
1201,青山学院大学,Canada
1201,雅加达雅典雅加达天主教大学,United States
1201,Azerbaijan State Oil and Industry University,United States
1201,巴哈德丁扎卡里亚大学,United States
1201,白俄罗斯国立信息大学和放射性电子学系,Argentina
1201,普埃布拉自治大学,United States
1201,比尔泽特大学,Taiwan
1201,埃及不列颠大学,China (Mainland)
1201,Brock University,India
1201,CUNY The City College of New York,Bangladesh
1201,California Polytechnic State University,United States
1201,California State University - Long Beach,Bangladesh
1201,科尔多瓦天主教大学,Syrian Arab Republic
1201,Central Michigan University,Turkey
1201,朝阳科技大学,Russia
1201,中国政法大学,Bangladesh
1201,Chitkara University,Turkey
1201,吉大港工程与技术大学,Taiwan
1201,Cleveland State University,United States
1201,水仙花国际大学,Taiwan
1201,大马士革大学,Colombia
1201,杜库斯埃勒大学,Turkey
1201,唐州技术大学,Egypt
1201,东西大学,Vietnam
1201,Erciyes大学,Egypt
1201,逢甲大学,China (Mainland)
1201,佛罗里达大西洋大学,South Korea
1201,辅仁大学,United States
1201,波哥大 - 豪尔赫大学塔尔多洛扎诺大学,Pakistan
1201,GebzeYüksekTeknolojiEnstitüsü（GYTE）,Turkey
1201,德国大学，开罗,Turkey
1201,河内科技大学,Ukraine
1201,赫尔湾大学,Turkey
1201,河海大学,
1201,弘益大学,India
1201,印第安纳州立大学,South Korea
1201,伊斯兰玛巴德国际伊斯兰大学(IIU),Kenya
1201,伊斯坦布尔艾登大学,Ukraine
1201,伊斯坦布尔Bilgi大学,Bangladesh
1201,伊凡弗兰柯利沃夫国立大学,Japan
1201,伊兹密尔技术学院（IYTE）,Thailand
1201,Jahangirnagar University,Thailand
1201,贾米亚·哈姆达德，新德里,Kazakhstan
1201,济州国立大学,Japan
1201,Kenyatta University,Romania
1201,Kharkiv National University Of Radio Electronics,Kazakhstan
1201,库尔纳工程技术大学,Turkey
1201,近畿大学,United States
1201,科技曼谷北部蒙古特国王大学,Russia
1201,先皇技术学院,United States
1201,Kyzylorda州立大学,Russia
1201,关西学院大学,Japan
1201,锡比乌大学,Thailand
1201,塔拉斯州立大学命名？ Dulaty,Kazakhstan
1201,马尔马拉大学,Taiwan
1201,马凯特大学,Russia
1201,俄罗斯化工大学门捷列夫,Taiwan
1201,迈阿密大学（俄亥俄）,Taiwan
1201,莫斯科国立师范大学,Ukraine
1201,名古屋工业大学 (NIT),Pakistan
1201,那黎宣大学,Norway
1201,纳尔索兹大学,United States
1201,国立东华大学,India
1201,国家研究型大学“莫斯科动力学院”,Russia
1201,国立台北大学,India
1201,台湾海洋大学,Dominican Republic
1201,乌克兰国立生命与环境科学大学,Brazil
1201,National University of Modern Languages (NUML),United States
1201,挪威生命科学大学（UMB）,South Korea
1201,Nova Southeastern University,Japan
1201,海得拉巴奥斯曼尼亚大学,Russia
1201,彼尔姆州立大学,Russia
1201,本地治里大学,United States
1201,Madre y Maestra天主教主教大学,India
1201,里奥格兰德天主教大学,Japan
1201,波特兰州立大学,Kazakhstan
1201,釜庆大学,United States
1201,立教大学,United States
1201,俄罗斯国立农业大学,China (Mainland)
1201,俄罗斯国立人文大学RGGU,China (Mainland)
1201,"Rutgers, The State University of New Jersey, Camden",Japan
1201,SRM大学,India
1201,埼玉大学,Thailand
1201,哈萨克农业大学,South Korea
1201,San Francisco State University,South Korea
1201,西雅图大学,Romania
1201,上海师范大学,Egypt
1201,上海财经大学,Turkey
1201,芝浦工业大学,Kazakhstan
1201,Siksha 'O' Anusandhan 大学,Thailand
1201,泰国艺术大学,Taiwan
1201,淑明女子大学,Egypt
1201,崇实大学,Romania
1201,苏恰瓦大学,Poland
1201,苏伊士运河大学,Romania
1201,"Süleyman Demirel University, Turkey",Jordan
1201,Suleyman Demirel University,Russia
1201,泰国苏兰拉工业大学,Croatia
1201,台湾淡江大学,Russia
1201,坦达大学,Kazakhstan
1201,克卢日纳波卡技术大学,Romania
1201,卢布林技术大学,Taiwan
1201,格奥尔基·阿萨卡技术大学,Bangladesh
1201,哈希姆大学,Chile
1201,俄罗斯赫尔辛国立教育大学,Mexico
1201,奥西耶克大学,Mexico
1201,别尔哥罗德国立大学,Chile
1201,巴甫洛达尔国立大学,Chile
1201,罗马尼亚布拉索夫特兰西瓦大学,Chile
1201,东海大学,Ecuador
1201,联合国际大学,Bolivia
1201,阿尔贝托·赫塔多大学,Peru
1201,阿瓜斯卡连特斯自治大学,Argentina
1201,南下加利福尼亚州自治大学,Argentina
1201,贝纳多奥希金斯大学,Argentina
1201,特木科天主教大学,Argentina
1201,城北天主教大学,Argentina
1201,厄瓜多尔中央大学,Mexico
1201,圣安德烈市长大学,Peru
1201,国立农业大学,Cuba
1201,马德普拉塔国立大学,Mexico
1201,里奥夸尔托国立大学,Venezuela
1201,圣马丁全国大学（UNSAM）,Colombia
1201,国立大学,Colombia
1201,德尔滨海国立大学,Mexico
1201,普埃布拉大学,Chile
1201,洛约拉大学 (USIL),Ecuador
1201,哈瓦那科技大学,Colombia
1201,委内瑞拉大学,Panama
1201,卡拉沃沃大学,Peru
1201,卡塔赫纳大学,Guatemala
1201,科尔多瓦大学,Chile
1201,瓜纳华托大学,Ecuador
1201,拉弗龙特拉大学(UFRO),Chile
1201,美洲大学（UDLA）厄瓜多尔大学,Colombia
1201,麦德林大学,Chile
1201,巴拿马大学（UP）,Argentina
1201,德皮乌拉大学,Venezuela
1201,大学德圣卡洛斯危地马拉 - USAC,Brazil
1201,瓦尔帕莱索大学,Brazil
1201,厄瓜多尔军事理工学院,Brazil
1201,比奥比奥大学,Brazil
1201,考卡大学,Brazil
1201,德拉斯洛罗大学,Brazil
1201,萨尔瓦多大学,Brazil
1201,祖利亚大学,Brazil
1201,弗鲁米嫩塞联邦大学,Brazil
1201,巴伊亚联邦大学,Indonesia
1201,茹伊斯迪福拉联邦大学,Indonesia
1201,佩洛塔斯联邦大学,Indonesia
1201,圣玛丽亚联邦大学,Indonesia
1201,维索萨联邦大学,Romania
1201,塞阿拉联邦大学（UFC）,Malaysia
1201,麦肯齐长老会大学,Malaysia
1201,里约热内卢州立大学 (UERJ),Romania
1201,印度尼西亚伊斯兰大学,Iraq
1201,穆罕默迪亚大学,Iraq
1201,印度尼西亚教育大学,Poland
1201,北苏门答腊大学,United States
1201,蒂米什瓦拉西部大学,Iceland
1201,马来西亚伊斯兰理科大学,China (Mainland)
1201,马六甲国民技术大学马六甲国民技术大学,Sudan
1201,布加勒斯特理工大学,Iraq
1201,巴比伦大学,United States
1201,巴士拉大学,Hungary
1201,比亚韦斯托克大学,United States
1201,University of Central Oklahoma,United States
1201,University of Iceland,Serbia
1201,对外经济贸易大学,United States
1201,喀土穆大学,Czech Republic
1201,库法大学,Hungary
1201,University of Memphis,Sri Lanka
1201,米什科尔茨大学,Croatia
1201,University of Missouri Saint Louis ,Poland
1201,蒙大拿大学,Philippines
1201,尼斯大学,United States
1201,University of North Carolina at Greensboro,Bosnia and Herzegovina
1201,俄斯特拉发大学,Poland
1201,潘诺尼亚大学,United States
1201,佩拉德尼亚大学,Croatia
1201,里耶卡大学,Poland
1201,热罗姆大学,Czech Republic
1201,圣卡洛斯大学,United States
1201,圣地亚哥大学,Italy
1201,萨拉热窝大学,France
1201,西里西亚大学,Morocco
1201,南阿拉巴马大学,France
1201,斯普利特大学,
1201,University of Warmia and Mazury in Olsztyn,France
1201,西波希米亚大学,Tunisia
1201,太平洋大学（加利福尼亚）,Russia
1201,贝尔加莫大学,Indonesia
1201,里昂第三大学,South Korea
1201,穆罕默德大学 - 阿格达尔大学,Taiwan
1201,巴黎楠泰尔大学,Egypt
1201,Université de Franche-Comté,Hungary
1401,Université de Limoges,Turkey
1401,突尼斯大学,Jordan
1401,沃罗涅日州立大学,Turkey
1401,日惹州立大学,United States
1401,灵山大学,Turkey
1401,元智大学,Georgia
1401,萨格吉奇大学,India
1401,Óbuda University,United States
1401,阿克登尼兹大学,United States
1401,阿尔巴尔卡应用大学,India
1401,Ataturk University,Bangladesh
1401,California State University - Los Angeles ,Russia
1401,切库罗瓦大学,Bangladesh
1401,格鲁吉亚技术大学,Ghana
1401,因陀罗补罗湿多大学,Russia
1401,Humboldt State University,Russia
1401,Illinois State University,Japan
1401,印度统计学院,Brazil
1401,"International University of Business, Agriculture and Technology (IUBAT)",Brazil
1401,伊尔库茨克州立大学,Brazil
1401,Khulna University,
1401,Kwame Nkrumah University of Science and Technology,Turkey
1401,俄罗斯技术大学（MIREA）,
1401,莫斯科城市大学,Taiwan
1401,Nara Institute of Science and Technology,
1401,坎皮纳斯天主教大学 ,Indonesia
1401,米纳斯吉拉斯州天主教大学,Sudan
1401,巴拉那天主教大学,Greece
1401,Rajshahi University,Germany
1401,萨卡里亚大学,Germany
1401,Shahjalal University of Science and Technology,Germany
1401,东吴大学（台湾）,Australia
1401,Stamford University Bangladesh,Ecuador
1401,玛琅国立大学,Indonesia
1401,苏丹科技大学,Mexico
1401,克里特岛技术大学,Chile
1401,弗雷伯格大学技术大学,Mexico
1401,工业大学汉堡 - 哈尔堡,Mexico
1401,Technische Universität Kaiserslautern,Mexico
1401,澳洲圣母大学,Bolivia
1401,莎士比亚理工学院,Colombia
1401,乌达亚那大学,Chile
1401,尤卡坦自治大学,Ecuador
1401,智利大学,Chile
1401,克雷塔罗自治大学,Bolivia
1401,圣路易斯波托西自治大学,Mexico
1401,自治大学德尔斯卡德莫雷洛斯,Honduras
1401,玻利维亚大学,Argentina
1401,哥伦比亚天主教大学,Argentina
1401,至圣理念的天主教大学 - 加州大学圣克鲁兹分校,Argentina
1401,圣地亚哥瓜亚基尔天主教大学,Ecuador
1401,智利中央大学,Colombia
1401,圣西蒙大学科恰班巴分校,Colombia
1401,米却肯大学的圣尼古拉斯-德伊达尔戈分校,Colombia
1401,洪都拉斯国立自治大学（UNAH）,Ecuador
1401,基尔梅斯国立大学,Colombia
1401,图库曼国立大学,Chile
1401,国立大学戴尔苏尔,Colombia
1401,洛哈技术大学,Mexico
1401,玻利瓦尔技术学院,Chile
1401,佩雷拉科技大学,Colombia
1401,大学德卡尔达斯,Mexico
1401,昆卡大学,Brazil
1401,拉萨尔大学,Brazil
1401,德拉塞雷纳大学,Brazil
1401,桑坦德大学 - UDES,Brazil
1401,索诺拉大学,Brazil
1401,德塔拉帕卡大学,Brazil
1401,Magdalena大学,Brazil
1401,山谷大学墨西哥（UVM）,Brazil
1401,隆德里纳州立大学,Indonesia
1401,帕拉伊巴州联邦大学,Indonesia
1401,戈亚斯州联邦大学,Indonesia
1401,乌贝兰迪亚联邦大学,Romania
1401,里约热内卢州联邦大学 - UNIRIO,Romania
1401,帕拉州联邦大学 - 非制冷焦平面,Nigeria
1401,联邦大学北约里奥格兰德北大学,Serbia
1401,圣卡塔琳娜州立大学,Nigeria
1401,安达拉斯大学,Indonesia
1401,Petra Christian University,Indonesia
1401,梭罗大学,Romania
1401,蒂米什瓦拉理工大学,
1401,克拉约瓦大学,France
1401,伊巴丹大学,United States
1401,克拉古耶瓦茨大学,
